"","DISEASECODE","DIAGNOSISDISEASE","CNT"
"15911","S22006","第１０胸椎圧迫骨折",2
"15912","S22006","第１１胸椎圧迫骨折",1
"15913","S22006","第１２胸椎圧迫骨折",3
"15914","S22006","第１胸椎圧迫骨折",1
"15915","S22006","第４胸椎圧迫骨折",1
"15916","S22006","胸椎圧迫骨折",31
"15917","S22100","胸椎の骨折（多発性）",1
"15918","S22101","胸椎多発圧迫骨折",1
"15919","S22200","胸骨骨折",14
"15920","S22300","両側肋骨骨折",1
"15921","S22300","右第１０肋骨骨折",1
"15922","S22300","右第１第１１肋骨骨折",1
"15923","S22300","右第１肋骨骨折",1
"15924","S22300","右第２第６肋骨骨折",1
"15925","S22300","右第２肋骨骨折",2
"15926","S22300","右第３第６肋骨骨折",1
"15927","S22300","右第３肋骨骨折",1
"15928","S22300","右第６肋骨骨折",1
"15929","S22300","右第７肋骨骨折",1
"15930","S22300","右第８肋骨骨折",2
"15931","S22300","右第９肋骨骨折",1
"15932","S22300","右肋骨骨折",16
"15933","S22300","右肋骨骨折うたがい",2
"15934","S22300","左第１１肋骨骨折",1
"15935","S22300","左第１第１０肋骨骨折",1
"15936","S22300","左第１肋骨骨折",1
"15937","S22300","左第３第６肋骨骨折",1
"15938","S22300","左第４第１１肋骨骨折",1
"15939","S22300","左第４肋骨骨折",1
"15940","S22300","左第５肋骨骨折",1
"15941","S22300","左第７肋骨骨折",1
"15942","S22300","左第８肋骨骨折",2
"15943","S22300","左肋骨骨折",10
"15944","S22300","肋骨骨折",16
"15945","S22400","両側肋骨骨折（多発性）",5
"15946","S22400","肋骨骨折（多発性）",6
"15947","S22402","両側肋骨多発骨折",4
"15948","S22402","右肋骨多発骨折",21
"15949","S22402","左肋骨多発骨折",21
"15950","S22402","肋骨多発骨折",5
"15951","S22500","動揺胸郭",1
"15952","S22501","左閉鎖性動揺胸郭",1
"15953","S23400","肋骨・胸骨の捻挫",2
"15954","S23500","右胸部の捻挫",2
"15955","S23500","胸部の捻挫",2
"15956","S24100","胸髄損傷",5
"15957","S24101","上位胸髄損傷",3
"15958","S25000","外傷性胸部大動脈損傷",1
"15959","S25000","胸部大動脈損傷",2
"15960","S25001","上大動脈損傷",1
"15961","S25001","外傷性上大動脈損傷術後",1
"15962","S25002","外傷性胸部大動脈解離",1
"15963","S25100","腕頭動脈・鎖骨下動脈損傷",1
"15964","S25501","左肋間動脈損傷",1
"15965","S25501","肋間動脈損傷",1
"15966","S26800","心臓挫傷",2
"15967","S26900","心臓損傷",2
"15968","S27000","外傷性気胸",4
"15969","S27000","左外傷性気胸",1
"15970","S27004","両側外傷性気胸・胸腔に達する開放創合併なし",2
"15971","S27004","右外傷性気胸・胸腔に達する開放創合併なし",3
"15972","S27004","左外傷性気胸・胸腔に達する開放創合併なし",2
"15973","S27005","閉鎖性外傷性気胸",1
"15974","S27100","右外傷性血胸",2
"15975","S27100","外傷性血胸",3
"15976","S27101","閉鎖性外傷性血胸",1
"15977","S27102","両側外傷性血胸・胸腔に達する開放創合併なし",1
"15978","S27102","右外傷性血胸・胸腔に達する開放創合併なし",3
"15979","S27102","外傷性血胸・胸腔に達する開放創合併なし",1
"15980","S27102","左外傷性血胸・胸腔に達する開放創合併なし",2
"15981","S27111","右外傷性血胸・胸腔に達する開放創合併あり",1
"15982","S27200","外傷性血気胸",2
"15983","S27202","両側外傷性血気胸・胸腔に達する開放創合併なし",4
"15984","S27202","右外傷性血気胸・胸腔に達する開放創合併なし",3
"15985","S27202","外傷性血気胸・胸腔に達する開放創合併なし",1
"15986","S27202","左外傷性血気胸・胸腔に達する開放創合併なし",7
"15987","S27210","開放性外傷性血気胸",1
"15988","S27211","左外傷性血気胸・胸腔に達する開放創合併あり",1
"15989","S27300","肺損傷",1
"15990","S27301","両側肺挫傷",2
"15991","S27301","肺挫傷",5
"15992","S27308","両側肺挫傷・胸腔に達する開放創合併なし",13
"15993","S27308","右肺挫傷・胸腔に達する開放創合併なし",12
"15994","S27308","左肺挫傷・胸腔に達する開放創合併なし",7
"15995","S27308","肺挫傷・胸腔に達する開放創合併なし",2
"15996","S27312","肺損傷・胸腔に達する開放創合併あり",1
"15997","S27400","気管支損傷",1
"15998","S27800","縦隔血腫",6
"15999","S278012","縦隔血腫・胸腔に達する開放創合併なし",1
"16000","S278019","外傷性横隔膜ヘルニア・胸腔に達する開放創合併なし",2
"16001","S27804","横隔膜損傷",3
"16002","S27819","左横隔膜損傷・胸腔に達する開放創合併あり",1
"16003","S27901","右胸腔内血腫",3
"16004","S27901","胸腔内血腫",6
"16005","S27903","気道損傷",1
"16006","S28000","胸部圧挫",2
"16007","S29800","右肋骨損傷",1
"16008","S29800","肋骨損傷",2
"16009","S29802","右第６肋軟骨損傷",1
"16010","S29802","肋軟骨損傷",2
"16011","S29803","両側肋骨外傷",1
"16012","S29803","肋骨外傷",1
"16013","S30000","腰部・骨盤部の挫傷",2
"16014","S30001","尾骨部打撲傷",1
"16015","S30004","腰殿部打撲傷",2
"16016","S30005","腰殿部挫傷",1
"16017","S30006","腰部骨盤部挫傷",1
"16018","S30007","腰背部打撲傷",214
"16019","S30009","腰仙部打撲傷",1
"16020","S30012","両側骨盤部打撲傷",1
"16021","S30012","骨盤部打撲傷",1
"16022","S30018","右殿部打撲傷",3
"16023","S30018","左殿部打撲傷",2
"16024","S30018","殿部打撲傷",3
"16025","S30020","左腰部打撲",1
"16026","S30020","腰部打撲",7
"16027","S30022","腰部皮下血腫",1
"16028","S30023","殿部皮下血腫",1
"16029","S30101","腹壁下血腫",4
"16030","S30105","恥骨部打撲",1
"16031","S30106","右鼡径部皮下血腫",1
"16032","S30107","腹部皮下血腫",1
"16033","S30201","精巣挫傷",1
"16034","S30202","両側精巣打撲傷",1
"16035","S30206","陰のう血腫",1
"16036","S30900","（妊娠３７週）腹部打撲傷",1
"16037","S30900","左腹部打撲傷",1
"16038","S30900","腹部打撲傷",51
"16039","S30901","腹部挫傷",1
"16040","S31003","左殿部切創",1
"16041","S31008","殿部皮膚欠損創",2
"16042","S31100","腹壁の開放創",2
"16043","S31101","鼡径部開放創",2
"16044","S31106","腹壁異物・開放創",1
"16045","S31202","包皮裂創",1
"16046","S31206","陰茎裂創",1
"16047","S31405","外陰部挫創",1
"16048","S31409","会陰裂傷",6
"16049","S31409","会陰裂傷４度",1
"16050","S31409","重症会陰裂傷",1
"16051","S31800","腹部開放創",4
"16052","S31801","腹部刺創",6
"16053","S31802","肛門裂創",1
"16054","S31803","仙骨部挫創",1
"16055","S31805","腹部皮膚欠損創",6
"16056","S32000","左第１腰椎骨折",1
"16057","S32000","左第２腰椎骨折",1
"16058","S32000","左第３腰椎骨折",1
"16059","S32000","左第４腰椎骨折",1
"16060","S32000","第１腰椎骨折",2
"16061","S32000","第２第３腰椎骨折",1
"16062","S32000","第２第５腰椎骨折",1
"16063","S32000","第３腰椎骨折",1
"16064","S32000","第４腰椎骨折",1
"16065","S32000","腰椎骨折",6
"16066","S32002","第１第３腰椎椎体骨折",1
"16067","S32002","第１腰椎椎体骨折",2
"16068","S32002","腰椎椎体骨折",8
"16069","S32004","多発性腰椎破裂骨折",1
"16070","S32004","第１腰椎破裂骨折",3
"16071","S32004","第５腰椎破裂骨折",1
"16072","S32004","腰椎破裂骨折",7
"16073","S32007","第１腰椎圧迫骨折",3
"16074","S32007","第２腰椎圧迫骨折",2
"16075","S32007","第４腰椎圧迫骨折",2
"16076","S32007","第５腰椎圧迫骨折",3
"16077","S32007","腰椎圧迫骨折",86
"16078","S32007","腰椎圧迫骨折第１度",1
"16079","S32008","両側第２腰椎横突起骨折",1
"16080","S32008","多発性右腰椎横突起骨折",1
"16081","S32008","左第１第２腰椎横突起骨折",1
"16082","S32008","左第５腰椎横突起骨折",1
"16083","S32008","左腰椎横突起骨折",1
"16084","S32008","第１腰椎横突起骨折",1
"16085","S32008","第２腰椎横突起骨折",1
"16086","S32008","第３腰椎横突起骨折",1
"16087","S32008","腰椎横突起骨折",4
"16088","S32013","第１腰椎開放骨折",1
"16089","S32100","仙骨骨折",21
"16090","S32100","右仙骨骨折",1
"16091","S32110","仙骨開放骨折",1
"16092","S32200","尾骨骨折",4
"16093","S32300","右腸骨骨折",2
"16094","S32300","左腸骨骨折",4
"16095","S32300","腸骨骨折",1
"16096","S32310","左腸骨開放骨折",1
"16097","S32400","右寛骨臼骨折",4
"16098","S32400","寛骨臼骨折",1
"16099","S32400","左寛骨臼骨折",5
"16100","S32500","両側恥骨骨折",5
"16101","S32500","右恥骨骨折",3
"16102","S32500","左恥骨骨折",6
"16103","S32500","恥骨骨折",5
"16104","S32700","腰椎・骨盤多発骨折",3
"16105","S32702","重複性垂直骨盤骨折",1
"16106","S32703","骨盤多発骨折",9
"16107","S32705","腰椎多発圧迫骨折",3
"16108","S32801","腰仙椎骨折",1
"16109","S32803","両側坐骨骨折",1
"16110","S32803","右坐骨骨折",7
"16111","S32803","坐骨骨折",2
"16112","S32803","左坐骨骨折",11
"16113","S32804","多発性骨盤輪骨折",1
"16114","S32804","骨盤輪骨折",4
"16115","S32811","多発性骨盤開放骨折",1
"16116","S32811","骨盤開放骨折",1
"16117","S32813","多発性骨盤輪開放骨折",1
"16118","S33401","外傷性恥骨結合離開",2
"16119","S33500","腰部の捻挫",2
"16120","S33501","腰椎ストレイン",1
"16121","S33600","仙腸関節の捻挫",8
"16122","S33703","右骨盤捻挫",1
"16123","S33710","腰椎・骨盤の脱臼",1
"16124","S34200","腰椎・仙椎の神経根損傷",8
"16125","S35000","腹部大動脈損傷",1
"16126","S35204","肝動脈損傷",1
"16127","S35501","左内腸骨動脈損傷",1
"16128","S35502","子宮静脈損傷",1
"16129","S35503","子宮動脈損傷",1
"16130","S35504","総腸骨動脈損傷",1
"16131","S35507","下腹動脈損傷",1
"16132","S35800","外傷性椎骨動脈解離",1
"16133","S35900","腹部・腰部・骨盤部の血管損傷",2
"16134","S36000","脾臓損傷",1
"16135","S36000","脾臓損傷（自然破裂）",2
"16136","S36004","脾損傷・腹腔に達する開放創合併なし",5
"16137","S36010","脾損傷・腹腔に達する開放創合併あり",2
"16138","S36100","肝臓・胆管・胆嚢損傷",1
"16139","S361012","閉鎖性胆管損傷",1
"16140","S361015","肝損傷・腹腔に達する開放創合併なし",22
"16141","S36104","肝外傷",1
"16142","S36107","閉鎖性肝損傷",1
"16143","S36119","肝損傷・腹腔に達する開放創合併あり",2
"16144","S36206","膵損傷・腹腔に達する開放創合併なし",3
"16145","S36311","胃損傷・腹腔に達する開放創合併あり",1
"16146","S36402","小腸損傷・腹腔に達する開放創合併なし",4
"16147","S36410","小腸損傷・腹腔に達する開放創合併あり",1
"16148","S36413","十二指腸損傷・腹腔に達する開放創合併あり",1
"16149","S36501","結腸損傷・腹腔に達する開放創合併なし",2
"16150","S36602","直腸損傷",1
"16151","S36701","胃腸管穿孔破裂",2
"16152","S36708","胃腸管穿孔破裂・腹腔に達する開放創合併なし",1
"16153","S36801","閉鎖性腸間膜損傷",4
"16154","S36802","外傷性腹腔内出血",11
"16155","S36810","開放性腸間膜損傷",2
"16156","S36902","腸管損傷",1
"16157","S36914","開放性腹腔内臓器損傷",2
"16158","S370010","両側腎損傷・骨盤腔に達する開放創合併なし",2
"16159","S370010","右腎損傷・骨盤腔に達する開放創合併なし",1
"16160","S370010","左腎損傷・骨盤腔に達する開放創合併なし",1
"16161","S37003","右腎損傷",1
"16162","S37100","右尿管損傷",4
"16163","S37100","尿管損傷",5
"16164","S37117","右尿管損傷",1
"16165","S37117","尿管損傷",1
"16166","S37117","左尿管損傷",1
"16167","S37200","膀胱損傷",6
"16168","S37212","膀胱損傷",1
"16169","S37300","尿道損傷",14
"16170","S37302","尿道断裂",2
"16171","S37305","尿道損傷・骨盤腔に達する開放創合併なし",1
"16172","S37600","子宮穿孔",1
"16173","S37810","右副腎損傷",1
"16174","S38009","陰のう挫滅創",1
"16175","S39002","殿部筋肉内血腫",3
"16176","S39901","腹部外傷",1
"16177","S39903","左精巣損傷",1
"16178","S39905","左精巣外傷",1
"16179","S39914","外陰外傷",1
"16180","S40000","両側肩・上腕の挫傷",2
"16181","S40000","左肩・上腕の挫傷",4
"16182","S40000","肩・上腕の挫傷",2
"16183","S40002","右上腕打撲傷",1
"16184","S40002","左上腕打撲傷",1
"16185","S40010","右肩打撲",2
"16186","S40014","右肩打撲傷",6
"16187","S40014","左肩打撲傷",5
"16188","S40014","肩打撲傷",1
"16189","S40800","上腕擦過創",1
"16190","S41000","左肩の開放創",1
"16191","S41100","左上腕の開放創",2
"16192","S41102","左上腕挫創",2
"16193","S41104","上腕皮膚欠損創",1
"16194","S41104","右上腕皮膚欠損創",1
"16195","S42000","右鎖骨骨折",11
"16196","S42000","左鎖骨骨折",17
"16197","S42000","左鎖骨骨折術後",2
"16198","S42000","鎖骨骨折",3
"16199","S42001","右鎖骨遠位端骨折",5
"16200","S42001","左鎖骨遠位端骨折",7
"16201","S42002","右鎖骨骨幹部骨折",1
"16202","S42002","右鎖骨骨幹部骨折術後",1
"16203","S42002","左鎖骨骨幹部骨折",2
"16204","S42012","右鎖骨遠位端開放骨折",1
"16205","S42100","両側肩甲骨骨折",2
"16206","S42100","右肩甲骨骨折",8
"16207","S42100","左肩甲骨骨折",14
"16208","S42100","肩甲骨骨折",1
"16209","S42101","右肩関節脱臼骨折",3
"16210","S42101","右肩関節脱臼骨折術後",1
"16211","S42103","右肩甲骨烏口突起骨折",1
"16212","S42105","左肩甲骨体部骨折",2
"16213","S42200","上腕骨近位端の骨折",1
"16214","S42200","右上腕骨近位端の骨折",9
"16215","S42200","左上腕骨近位端の骨折",8
"16216","S42201","右上腕骨頚部骨折",3
