"","WELFARECODE","MEDICINENAME1","CNT"
"335","2119408A1040","☆ミルリノン注｢タカタ｣(10mg/10mL)",3716
"336","2119408A1040","ミルリノン注｢タカタ｣(10mg/10mL)",4628
"337","2121400A2030","☆アミサリン注(200mg/2ml)",26
"338","2121400A2030","アミサリン注(200mg/2ml)",78
"339","2123404D1033","☆オノアクト点滴静注用５０ｍｇ【AD】",336
"340","2123404D1033","オノアクト点滴静注用５０ｍｇ【AD】",843
"341","2123404D3028","【ICU限定】オノアクト点滴静注用(150mg)【AD】",19
"342","2123404D3028","☆オノアクト点滴静注用(150mg)【AD】",39
"343","2123404D3028","オノアクト点滴静注用(150mg)【AD】",38
"344","2129402A1040","☆ワソラン静注(5mg/2ml)",90
"345","2129402A1040","ワソラン静注(5mg/2ml)",179
"346","2129405A1035","☆シベノール静注(70mg/5ml)",16
"347","2129405A1035","シベノール静注(70mg/5ml)",8
"348","2129407D1030","☆シンビット静注用(50mg)",33
"349","2129407D1030","シンビット静注用(50mg)",232
"350","2129408A1020","☆サンリズム注５０ｍｇ",46
"351","2129408A1020","サンリズム注５０ｍｇ",108
"352","2129409G1036","☆リドカイン静注２％シリンジ(100mg/5ml)",17
"353","2129409G1036","リドカイン静注２％シリンジ(100mg/5ml)",15
"354","2129410A1036","☆アミオダロン塩酸塩静注(150mg/3mL)｢TE｣",164
"355","2129410A1036","アミオダロン塩酸塩静注(150mg/3mL)｢TE｣",503
"356","2133400D1082","ソルダクトン静注用(100mg)【AD】",27
"357","2133400D2097","【NICU限定】ｿﾙﾀﾞｸﾄﾝ静注用(200mg)【AD】",1
"358","2133400D2097","ソルダクトン静注用(200mg)【AD】",473
"359","2134400D1039","ダイアモックス注(500mg)【AD】",1023
"360","2139401A1033","ラシックス注(100mg/10ml)【AD】",5780
"361","2139401A2137","ラシックス注(20mg/2ml)【AD】",16942
"362","2139403D1020","【限】サムタス点滴静注用８ｍｇ【ＡＤ】",3
"363","2139403D1020","サムタス点滴静注用８ｍｇ【ＡＤ】",492
"364","2149400A1132","☆ﾆｶﾙｼﾞﾋﾟﾝ塩酸塩注射液(2mg/2mL)｢ｻﾜｲ｣",139
"365","2149400A1132","ﾆｶﾙｼﾞﾋﾟﾝ塩酸塩注射液(2mg/2mL)｢ｻﾜｲ｣",136
"366","2149400A2155","☆ﾆｶﾙｼﾞﾋﾟﾝ塩酸塩注射液(10mg/10mL)｢ｻﾜｲ｣",2180
"367","2149400A2155","ﾆｶﾙｼﾞﾋﾟﾝ塩酸塩注射液(10mg/10mL)｢ｻﾜｲ｣",3447
"368","2160400A1032","☆ネオシネジンコーワ注１ｍｇ",91
"369","2160400A1032","ネオシネジンコーワ注１ｍｇ",213
"370","2171403G1024","☆ニトログリセリン注シリンジ(25mg/50mL)",195
"371","2171403G1024","ニトログリセリン注シリンジ(25mg/50mL)",279
"372","2171404G2025","☆ニトロール持続静注ｼﾘﾝｼﾞ(25mg/50ml)",99
"373","2171404G2025","ニトロール持続静注ｼﾘﾝｼﾞ(25mg/50ml)",96
"374","2171405D5065","☆ジルチアゼム塩酸塩注射用｢ｻﾜｲ｣(50mg)",50
"375","2171405D5065","ジルチアゼム塩酸塩注射用｢ｻﾜｲ｣(50mg)",77
"376","2171406D3024","【ICU限定】シグマート注（４８ｍｇ）",1
"377","2171406D3024","シグマート注（４８ｍｇ）",1
"378","2171406D3032","【ICU限定】ニコランジル点滴静注用(48mg)｢ｻﾜｲ｣",13
"379","2171406D3032","☆ニコランジル点滴静注用(48mg)｢ｻﾜｲ｣",176
"380","2171406D3032","ニコランジル点滴静注用(48mg)｢ｻﾜｲ｣",359
"381","2179400D1022","☆ハンプ注(1000μg)",1091
"382","2179400D1022","ハンプ注(1000μg)",1634
"383","2189401G2026","レパーサ皮下注ペン(140mg/1mL)",13
"384","2189401G3022","レパーサ皮下注ｵｰﾄﾐﾆﾄﾞｰｻﾞｰ(420mg/3.5mL)",29
"385","2189402G3027","プラルエント皮下注ペン(75mg/1mL)",1
"386","2189403G1029","レクビオ皮下注シリンジ(300mg/1.5mL)",16
"387","2189404A1020","【限】ｴｳﾞｷｰｻﾞ点滴静注液(345mg/2.3mL)",13
"388","2190400A3077","20％マンニットール注射液(300mL)【AD】",163
"389","2190402D2106","ｱﾙﾌﾟﾛｽﾀｼﾞﾙｱﾙﾌｧﾃﾞｸｽ注（５００μｇ）｢ﾀｶﾀ｣",188
"390","2190402D3064","【限】プロスタンディン注(20μg)",34
"391","2190402D3080","ｱﾙﾌﾟﾛｽﾀｼﾞﾙｱﾙﾌｧﾃﾞｸｽ注（２０μｇ）｢ﾀｶﾀ｣",90
"392","2190406A1110","ｱﾙﾌﾟﾛｽﾀｼﾞﾙ注｢ｻﾜｲ｣(5μg/1mL)(先発:ﾊﾟﾙｸｽ)",77
"393","2190406A2051","パルクス注(10μg/2ml)",1368
"394","2190406A2116","ｱﾙﾌﾟﾛｽﾀｼﾞﾙ注｢ｻﾜｲ｣(10μg/2mL)(先発:ﾊﾟﾙｸｽ)",577
"395","2190408A2034","ノバスタンＨＩ注(10mg/2ml)",637
"396","2190413F2024","☆フローラン静注用（０．５ｍｇ）",14
"397","2190413F2024","フローラン静注用（０．５ｍｇ）",4
"398","2190413F2075","☆ｴﾎﾟﾌﾟﾛｽﾃﾉｰﾙ静注用｢ﾔﾝｾﾝ｣(0.5mg)",89
"399","2190413F2075","ｴﾎﾟﾌﾟﾛｽﾃﾉｰﾙ静注用｢ﾔﾝｾﾝ｣(0.5mg)",66
"400","2190413F3020","【限】フローラン静注用（１．５ｍｇ）",47
"401","2190413F3020","☆【限】フローラン静注用（１．５ｍｇ）",604
"402","2190413F3020","☆フローラン静注用（１．５ｍｇ）",248
"403","2190413F3071","☆ｴﾎﾟﾌﾟﾛｽﾃﾉｰﾙ静注用｢ACT｣(1.5mg)",10
"404","2190413F3071","☆ｴﾎﾟﾌﾟﾛｽﾃﾉｰﾙ静注用｢ﾔﾝｾﾝ｣(1.5mg)",10
"405","2190413F3071","ｴﾎﾟﾌﾟﾛｽﾃﾉｰﾙ静注用｢ﾔﾝｾﾝ｣(1.5mg)",52
"406","2190414A1033","エリル点滴静注(30mg/2ml)",239
"407","2190415A1020","フローラン専用溶解液５０ｍｌ",910
"408","2190417A1029","イブリーフ静注(20mg/2mL)",1
"409","2190418A1023","【限】ピヴラッツ点滴静注液(150mg/6mL)",21
"410","2190418A1023","ピヴラッツ点滴静注液(150mg/6mL)",23
"411","2190501A4106","グリセリン・果糖配合点滴静注(200mL)｢HK｣",2268
"412","2219402A1049","ナロキソン塩酸塩静注(0.2mg/1ml)",97
"413","2219403A1035","フルマゼニル注射液｢F｣(0.5mg/5mL)",122
"414","2219403G1020","ﾌﾙﾏｾﾞﾆﾙ静注ｼﾘﾝｼﾞ(0.5mg/5mL)｢ﾃﾙﾓ｣",138
"415","2221400A2060","塩酸エフェドリン注(40mg/1ml)【AD】",86
"416","2234400A1054","ﾌﾞﾛﾑﾍｷｼﾝ塩酸塩注射液(4mg/2mL)｢ﾀｲﾖｰ｣",179
"417","2234400A1062","【ICU限定】ビソルボン注(4mg/2ml)",6
"418","2234400A1062","ビソルボン注(4mg/2ml)",474
"419","2290400G2028","ゾレア皮下注シリンジ(150mg/1mL)",61
"420","2290400G5027","【限】ゾレア皮下注ペン(300mg/2mL)",5
"421","2290401D1020","ヌーカラ皮下注用（１００ｍｇ）",6
"422","2290401G2022","ヌーカラ皮下注ペン(100mg/1mL)",170
"423","2290402G1020","ファセンラ皮下注シリンジ(30mg/1mL)",56
"424","2290403G1025","【限】ﾃｾﾞｽﾊﾟｲｱ皮下注ｼﾘﾝｼﾞ(210mg/1.91mL)",3
"425","2290403G1025","ﾃｾﾞｽﾊﾟｲｱ皮下注ｼﾘﾝｼﾞ(210mg/1.91mL)",14
"426","2290403G2021","ﾃｾﾞｽﾊﾟｲｱ皮下注ﾍﾟﾝ(210mg/1.91mL)",13
"427","2325401A2027","ガスター注(20mg/2ml)",16437
"428","2329403D1068","オメプラゾール注射用｢日医工｣(20mg)",6126
"429","2329404F1020","タケプロン静注用（３０ｍｇ）",14228
"430","2391400G3027","グラニセトロン静注液ｼﾘﾝｼﾞ(1mg/1mL)｢NK｣",1331
"431","2391400G3035","グラニセトロン静注液ｼﾘﾝｼﾞ(1mg/1mL)｢ｻﾜｲ｣",391
"432","2391400G4031","グラニセトロン点滴静注ﾊﾞｯｸﾞ(3mg/50mL)｢HK｣",10862
"433","2391400G4058","グラニセトロン点滴静注ﾊﾞｯｸﾞ(3mg/50mL)｢NK｣",1182
"434","2391401A1034","オンダンセトロン注射液｢F｣(4mg/2mL)",125
"435","2391401G1045","オンダンセトロン注ｼﾘﾝｼﾞ(4mg/2mL)｢ﾏﾙｲｼ｣",131
"436","2391403A1033","ﾗﾓｾﾄﾛﾝ塩酸塩注射液｢EMEC｣(0.3mg/2mL)",214
"437","2391404A1020","アロキシ静注（0.75mg/5ml）",4347
"438","2391404A1038","パロノセトロン静注(0.75mg/5mL)「ﾀｲﾎｳ」",6866
"439","2391405D1020","プロイメンド点滴静注用１５０ｍｇ",1081
"440","2391406A1029","アロカリス点滴静注(235mg/10mL)",458
"441","2399401A1083","プリンペラン注(10mg/2ml)",8124
"442","2399402F1026","レミケード点滴静注用（１００ｍｇ）",815
"443","2399403F1039","ｲﾝﾌﾘｷｼﾏﾌﾞBS点滴静注用100mg｢NK｣",106
"444","2399405F1020","エンタイビオ点滴静注用（３００ｍｇ）",245
"445","2399405G2021","【限】エンタイビオ皮下注ﾍﾟﾝ(108mg/0.68mL)",1
"446","2399407A1021","【限】オンボー点滴静注（300mg/15mL）",18
"447","2399407G2020","【限】ｵﾝﾎﾞｰ皮下注ｵｰﾄｲﾝｼﾞｪｸﾀｰ(100mg/1mL)",17
"448","2411400D1022","コートロシン注射用(0.25mg)【AD】",5
"449","2411400D1022","コートロシン注射用(0.25mg/2ml)【AD】",3
"450","2411400D2029","コートロシン注射用(0.25mg)【AD】",136
"451","2411401A2035","コートロシンＺ筋注(0.5mg/1mL)【AD】",21
"452","2411401A3023","コートロシンＺ筋注(0.5mg/1mL)【AD】",13
"453","2412402P6027","(持参)ノルディトロピンﾌﾚｯｸｽﾌﾟﾛ注5mg【AD",7
"454","2412402P7023","(持参)ノルディトロピンﾌﾚｯｸｽﾌﾟﾛ注10mg【AD",14
"455","2412402P7023","ﾉﾙﾃﾞｨﾄﾛﾋﾟﾝﾌﾚｯｸｽﾌﾟﾛ注１０ｍｇ【AD】",19
"456","2413400D2082","ＨＭＧ注射用１５０ＩＵ「フェリング」",660
"457","2413400D4077","ＨＭＧ注テイゾー(150単位/2mL)",44
"458","2413400D4123","ＨＭＧ注射用１５０単位「Ｆ」",275
"459","2413400D4123","ＨＭＧ筋注用１５０単位「Ｆ」",237
"460","2413402X4137","【アンプル】ゴナトロピン注用(5000単位)【AD】",14
"461","2413402X4137","ゴナトロピン注用（５０００単位）【AD】",71
"462","2413402X8027","【バイアル】ゴナトロピン注用(5000単位)【AD】",11
"463","2413402X8027","ゴナトロピン注用(5000単位)【AD】",26
"464","2413403A1067","ｕＦＳＨ注用７５単位「あすか」",69
"465","2413403A1067","ゴナピュール注用（７５単位）",5
"466","2413403D2027","ｕＦＳＨ注用７５単位「あすか」",9
"467","2413404D2021","ゴナールエフ皮下注用１５０単位",3
"468","2414400A2083","オキシトシン注射液５単位「Ｆ」（１ｍＬ）",2636
"469","2414402A1035","ピトレシン注(20U/1ml)",611
"470","2419400A1032","デスモプレシン注(4μg/1mL)【AD】",3
"471","2419400A1032","デスモプレシン静注(4μg/1mL)【AD】",3
"472","2431400A1029","チラーヂンＳ静注液(200μg/1mL)",419
"473","2439400G1020","(持参)フォルテオ皮下注ｷｯﾄ(600μg/2.4mL)",139
"474","2439400G1020","フォルテオ皮下注ｷｯﾄ(600μg/2.4mL)",327
"475","2439401G1024","テリボン皮下注28.2μgｵｰﾄｲﾝｼﾞｪｸﾀｰ",162
"476","2451400A1030","☆ボスミン注(1mg/1ml)【AD】",214
"477","2451400A1030","ボスミン注(1mg/1ml)【AD】",479
"478","2451401A1034","☆ノルアドリナリン注(1mg/1ml)【AD】",941
"479","2451401A1034","ノルアドリナリン注(1mg/1ml)【AD】",3442
"480","2451402G1040","☆アドレナリン注0.1％ｼﾘﾝｼﾞ(1mg/1ml)【AD",25
"481","2451402G1040","アドレナリン注0.1％ｼﾘﾝｼﾞ(1mg/1ml)【AD",41
"482","2452400D1084","ソル・コーテフ注射用(100mg)【AD】",6893
"483","2452400D6060","ソル・コーテフ静注用(500mg/4ml)【AD】",194
"484","2452402A2040","水溶性ハイドロコートン注(100mg/2ml)【AD",1871
"485","2454402A3033","ｹﾅｺﾙﾄ-A筋･関節腔内用水懸注(40mg/1ml)AD",802
"486","2454404A1064","リンデロン注（２ｍｇ／０．５ｍｌ）【AD】",3169
"487","2454404A2060","リンデロン注（４ｍｇ／１ｍｌ）【AD】",783
"488","2454405H3035","ﾃﾞｷｻｰﾄ注射液(３.３mg/1ml)(ｴｽﾃﾙ４mg)【AD",11341
"489","2454405H3035","ﾃﾞｷｻｰﾄ注射液(３.３mg/1ml)【AD】",123
"490","2454405H5038","ﾃﾞｷｻｰﾄ注射液(６.６mg/2ml)(ｴｽﾃﾙ８mg)【AD",24882
"491","2454405H5038","ﾃﾞｷｻｰﾄ注射液(６.６mg/2ml)【AD】",387
"492","2454407A1025","【限】リメタゾン注(2.5mg/1ml)",77
"493","2456400D1067","ソル・メドロール静注用(40mg)【AD】",3234
"494","2456400D2098","ソル・メドロール静注用(125mg)【AD】",905
"495","2456400D3094","ソル・メドロール静注用(500mg)【AD】",1098
"496","2456400D4074","ソル・メドロール静注用(1000mg)【AD】",1761
"497","2456405D2023","プレドニン水溶性注(20mg)【AD】",7240
"498","2456405D3020","プレドニン水溶性注(50mg)【AD】",2182
"499","2461400A1079","エナルモンデポー筋注(125mg/1ml)【AD】",815
"500","2477400A2067","プロゲストンデポー筋注(125mg/1mL)【AD】",879
"501","2492403A4051","☆ヒューマリンＲ注バイアル(1000単位/10mL)【AD】",16826
"502","2492413P2020","☆ヒューマリンＲ注ミリオペン(300単位/3mL)【AD】",2
"503","2492414A2030","☆ヒューマログ注バイアル(1000単位/10mL)【AD】",3
"504","2499401A2050","プロスタルモンＦ注(1mg/1ml)",46
"505","2499403A2068","☆ｵｸﾄﾚｵﾁﾄﾞ酢酸塩皮下注(100μg/1mL)｢ｻﾝﾄﾞ｣",461
"506","2499403A2068","ｵｸﾄﾚｵﾁﾄﾞ酢酸塩皮下注(100μg/1mL)｢ｻﾝﾄﾞ｣",718
"507","2499403G1021","☆サンドスタチンＬＡＲ筋注用キット(10mg)",33
"508","2499403G1021","サンドスタチンＬＡＲ筋注用キット(10mg)",27
"509","2499403G2028","☆サンドスタチンＬＡＲ筋注用キット(20mg)",76
"510","2499403G2028","サンドスタチンＬＡＲ筋注用キット(20mg)",50
"511","2499403G3024","☆サンドスタチンＬＡＲ筋注用キット(30mg)",20
"512","2499403G3024","サンドスタチンＬＡＲ筋注用キット(30mg)",55
"513","2499406G1025","☆ゾラデックス３．６ｍｇデポ【AD】",13
"514","2499406G1025","ゾラデックス３．６ｍｇデポ【AD】",12
"515","2499406G3028","☆ゾラデックスＬＡ注10.8mgデポ【AD】",142
"516","2499406G3028","ゾラデックスＬＡ注10.8mgデポ【AD】",412
"517","2499407D2038","☆リュープリン注射用(1.88mg)【AD】",36
"518","2499407D2038","リュープリン注射用(1.88mg)【AD】",72
"519","2499407G2050","☆リュープリン注射用キット(3.75mg)【AD】",60
"520","2499407G2050","リュープリン注射用キット(3.75mg)【AD】",87
"521","2499407G3030","☆ﾘｭｰﾌﾟﾘﾝSR注射用ｷｯﾄ(11.25mg)【AD】",407
"522","2499407G4029","☆リュープリンPRO注射用ｷｯﾄ(22.5mg)【AD】",370
"523","2499409D1022","【限】ソマバート皮下注用（１０ｍｇ）",2
"524","249940YD1028","(未保険薬)セトロタイド注射用0.25mg",181
"525","2499412D3027","☆【維持】ｺﾞﾅｯｸｽ皮下注用(80mg)溶解液つき【AD】",715
"526","2499412D4023","☆【初回】ｺﾞﾅｯｸｽ皮下注用(120mg)溶解液つき【AD】",1
"527","2499412D4023","☆【初回】ｺﾞﾅｯｸｽ皮下注用(120mg)溶解液つき【AD】(2Vでオーダのこと）",85
"528","2499412D5020","☆【維持】ｺﾞﾅｯｸｽ皮下注用(240mg)溶解液つき【AD】(2Vでオーダのこと）",306
"529","2499413G1025","【限】ソマチュリン皮下注(60mg)",6
"530","2499413G2021","ソマチュリン皮下注(90mg)",127
"531","2499413G3028","ソマチュリン皮下注(120mg)",151
"532","2499416G1029","☆トルリシティ皮下注ｱﾃｵｽ(0.75mg/0.5mL)",4
"533","2499416G1029","トルリシティ皮下注ｱﾃｵｽ(0.75mg/0.5mL)",42
"534","2499417G1023","【限】シグニフォーLAR筋注用キット(20mg)",35
"535","2499417G2020","【限】シグニフォーLAR筋注用キット(40mg)",55
"536","2499417G4022","【限】シグニフォーLAR筋注用キット(10mg)",20
"537","2499418G1028","☆ｵｾﾞﾝﾋﾟｯｸ皮下注SD(0.25mg/0.5mL)",1
"538","2499418G5023","【限】ウゴービ皮下注SD(0.25mg/0.5ｍL)",4
"539","2499418G6020","【限】ウゴービ皮下注SD(0.5mg/0.5ｍL)",2
"540","2499419D1026","レベスティブ皮下注用３．８ｍｇ",11
"541","2499421D1023","セトロタイド注射用0.25mg",51
"542","2499422G1024","【限】ﾏﾝｼﾞｬﾛ皮下注ｱﾃｵｽ(2.5mg/0.5mL)",11
"543","2499422G1024","ﾏﾝｼﾞｬﾛ皮下注ｱﾃｵｽ(2.5mg/0.5mL)",2
"544","2499422G2020","ﾏﾝｼﾞｬﾛ皮下注ｱﾃｵｽ(5mg/0.5mL)",8
"545","2531401A1142","メチルエルゴメトリン注(0.2mg/1ml)",215
"546","2590402A1156","ウテメリン注(50mg/5ml)【AD】",81
"547","2590500A1023","マグセント注（１００ｍｌ）",138
"548","2900401D1020","ザイヤフレックス注射用",2
"549","3112401A2022","オキサロール注５μｇ",1046
"550","3122404A1034","アリナミン注(10mg/2ml)",503
"551","3131400A5146","フラビタン注(20mg/2ml)",877
"552","3133401A1042","パントール注(100mg/1ml)",4421
"553","3135400A1026","フォリアミン注(15mg/1ml)",6
"554","3136403A1140","メチコバール注(500μg/1ml)",708
"555","3140400A4203","アスコルビン酸注（５００ｍｇ／２ｍＬ）",1826
"556","3160401A6041","ケイツーＮ静注用(10mg/2ml)",1057
"557","3179506F1023","ビタメジン静注用",7771
"558","3179517G1035","ビタジェクト注キット",6357
"559","3213400A2047","カルチコール注８.５％(1.95mEq/5ml)",383
"560","3213400A3043","カルチコール注８.５％(3.9mEq/10ml)",1957
"561","3215400A2076","２％塩化カルシウム注(7.2mEq/20ml)",415
"562","3222400A1058","フェジン静注(40mg/2ml)",2920
"563","3222404A1021","フェインジェクト静注(500mg/10mL)",251
"564","3222405A2022","【限】モノヴァー静注(1000mg/10mL)",9
"565","3229402A1023","アセレンド注（１００μｇ／２ｍＬ）",2562
"566","3229501A1094","シザナリン配合点滴静注液(2mL)",335
"567","3229501G1089","ミネリック‐５配合点滴静注シリンジ(2mL)",4822
"568","3231401A1183","５％ブドウ糖注(20ml)",14540
"569","3231401A2066","５％大塚糖液(100ml)",4423
"570","3231401H1327","２０％ブドウ糖注(20ml)",120
"571","3231401H7023","５０％ブドウ糖注(20ml)",2415
"572","3231401J3038","５０％大塚糖液(200mL)",430
"573","3231401J5030","７０％大塚糖液(350ml)",92
"574","3231401J6029","５％大塚糖液(250ml)",10729
"575","3231401J7025","１０％ブドウ糖注(20ml)",163
"576","3231401Q3028","５％ブドウ糖注(500ml)",6722
"577","3231401Q5020","１０％ブドウ糖注(500ml)",1268
"578","3231401Q6035","５％ブドウ糖注（５０ｍＬ）",9541
"579","3239501A3026","マンニットールＳ注射液(300mL)【AD】",1629
"580","3239503X1025","ハイカリック液２号(700ml)",409
"581","3239507X1023","ハイカリック液３号(700ml)",638
"582","3239516X1030","リハビックスＫ２号輸液（５００ｍｌ）",71
"583","3239527A2032","ハイカリックＲＦ輸液(500ml)",2018
"584","3253404A4051","アミノレバン点滴静注（５００ｍｌ）",497
"585","3253406A5030","アミパレン輸液（３００ｍｌ）",819
"586","3253407A3032","アミニック輸液（２００ｍｌ）",798
"587","3253412A2029","プレアミンＰ注(200ml)",955
"588","3253415A1034","ネオアミユー輸液（２００ｍｌ）",1406
"589","3259521G1034","ミキシッドＬ輸液（９００ｍｌ）",81
"590","3259522G1039","ミキシッドＨ輸液（９００ｍｌ）",147
"591","3259523G1033","フルカリック１号輸液(903mL)",181
"592","3259524G1038","フルカリック２号輸液(1003mL)",119
"593","3259525G1032","フルカリック３号輸液(1103mL)",1813
"594","3259529G1030","ビーフリード輸液（５００ｍｌ）",18866
"595","3259533G1029","エルネオパＮＦ１号輸液（１０００ｍＬ）",5934
"596","3259533G2025","エルネオパＮＦ１号輸液（１５００ｍＬ）",2147
"597","3259534G1023","エルネオパＮＦ２号輸液（１０００ｍＬ）",10378
"598","3259534G2020","エルネオパＮＦ２号輸液（１５００ｍＬ）",5027
"599","3259537G1027","エネフリード輸液（５５０ｍＬ）",145
"600","3299505A4045","イントラリポス輸液２０％（１００ｍＬ）",3705
"601","3299505A5041","イントラリポス輸液２０％（２５０ｍＬ）",1568
"602","3311400A1068","【ICU限定】１０％大塚食塩注（２０ｍＬ）",4
"603","3311401A2026","大塚生食注(20ml)",45673
"604","3311401A3111","大塚生食注(100ml)",75966
"605","3311401A9071","テルモ生食注(500ml)",35940
"606","3311401H1079","テルモ生食注(1000ml)",7059
"607","3311401H2032","生理食塩液５０ｍｌ",145473
"608","3311401H2105","ｴﾎﾟﾌﾟﾛｽﾃﾉｰﾙ静注用｢ﾔﾝｾﾝ｣専用溶解用液(50mL)",202
"609","3311401H6038","大塚生食注（２５０ｍｌ）",17504
"610","3311402G9036","大塚生食注２ポート(注入針付)(100mL)",48777
"611","3311402P6029","【ICU限定】生食注シリンジ（５０ｍＬ）｢ニプロ｣",3229
"612","3311402P6029","【限】生食注シリンジ（５０ｍＬ）｢ニプロ｣",974
"613","3319400A2046","サリンヘス輸液６％(500ml)【AD】",29
"614","3319402A2070","☆部署限定KCL補正液(20mEq/20ml)急速iv禁",7377
"615","3319402G4024","☆ＫＣＬ注キット(20mEq/20ml)急速iv禁",13568
"616","3319403G1038","【Ｎａ】塩化ナトリウム注10%ｼﾘﾝｼﾞ(20ml)",10131
"617","3319404A1064","乳酸Ｎａ補正液(20mEq/20mL)",13
"618","3319404A1064","補正用乳酸ナトリウム液（20ｍｌ）",40
"619","3319407A1025","【Ｐ】リン酸Ｎａ補正液(0.5mmol/mL)(20mL)",3041
"620","3319408A1020","ボルベン輸液６％（５００ｍＬ）【AD】",645
"621","3319500A3067","ソルデム１輸液（５００ｍｌ）",12485
"622","3319500A5060","ソルデム１輸液（２００ｍｌ）",1183
"623","3319510A4083","ソルデム３Ａ輸液（５００ｍｌ）",36487
"624","3319510A5098","ソルデム３Ａ輸液（２００ｍｌ）",2047
"625","3319511A4037","ソルデム３ＡＧ輸液（５００ｍｌ）",4805
"626","3319534A4160","ソルラクト輸液（５００ｍｌ）",11207
"627","3319534A6049","ラクテック注（１０００ｍＬ）",45
"628","3319536A4029","低分子デキストランＬ注(250ml)【AD】",61
"629","3319550A5092","アクチット輸液(500mL)",2917
"630","3319551A4074","ソルアセトＤ輸液（５００ｍＬ）",15413
"631","3319557A2036","ソルアセトＦ輸液（５００ｍＬ）",37249
"632","3319560A2038","フィジオ３５輸液(500ml)",6620
"633","3319561A2032","フィジオ１４０輸液(500ml)",1928
"634","3319562A3041","ヴィーン３Ｇ輸液（５００ｍＬ）",6643
"635","3319564A1021","ビカネイト輸液(500mL/袋)",496
"636","3319564A2028","ビカネイト輸液(1000mL/袋)",5238
"637","3321401A4181","アドナ静注(100mg/20ml)",2859
"638","3327401A4185","トランサミン注１０％(1g/10ml)",2672
"639","3329403A1058","プロタミン硫酸塩静注(100mg/10mL)｢ﾓﾁﾀﾞ｣",492
"640","3329404D1032","１０％オルダミン注(1g/10g)",47
"641","3334400A8024","【限】ﾍﾊﾟﾘﾝCa皮下注(1万単位/0.4mL)ｻﾜｲ",35
"642","3334400G1022","☆ﾍﾊﾟﾘﾝｶﾙｼｳﾑ皮下注ｼﾘﾝｼﾞ(5千単位/0.2ml)",870
"643","3334400G1022","ﾍﾊﾟﾘﾝｶﾙｼｳﾑ皮下注ｼﾘﾝｼﾞ(5千単位/0.2ml)",1488
"644","3334401A5062","☆ヘパリンNa注(５千単位/5mL)「モチダ」",8874
"645","3334401A5062","ヘパリンNa注(５千単位/5mL)「モチダ」",15353
"646","3334401A6140","☆ﾍﾊﾟﾘﾝﾅﾄﾘｳﾑ注(１万単位/10mL)「ニプロ」",1801
"647","3334401A6140","ﾍﾊﾟﾘﾝﾅﾄﾘｳﾑ注(１万単位/10mL)「ニプロ」",2560
"648","3334402G8034","☆ヘパリンNa透析用150単位/mLｼﾘﾝｼﾞ20mLﾌｿｰ",122
"649","3334402G8034","ヘパリンNa透析用150単位/mLｼﾘﾝｼﾞ20mLﾌｿｰ",336
"650","3334402P2044","☆ﾍﾊﾟﾘﾝNa透析用250単位/mLｼﾘﾝｼﾞ20mLﾌｿｰ",7
"651","3334403A2160","☆フラグミン静注(5000単位/5ml)",3
"652","3334403A2160","フラグミン静注(5000単位/5ml)",18
"653","3334404G2035","☆ローヘパ透析用１５０単位/mLｼﾘﾝｼﾞ(20mL)",1
"654","3334404G2035","ローヘパ透析用１５０単位/mLｼﾘﾝｼﾞ(20mL)",1
"655","3334406G1020","☆クレキサン皮下注ｷｯﾄ（2000IU／0.2ml）",248
"656","3334406G1020","クレキサン皮下注ｷｯﾄ（2000IU／0.2ml）",172
"657","3339401D1027","☆リコモジュリン点滴静注用１２８００単位",65
"658","3339401D1027","リコモジュリン点滴静注用１２８００単位",248
"659","3339600A1030","☆オルガラン静注(１２５０単位/1ml)",29
"660","3339600A1030","オルガラン静注(１２５０単位/1ml)",55
"661","3399400X1035","サム点滴静注セット",69
"662","3399403A1036","アンサー皮下注(20μg/1ml)",109
"663","3399405G1020","【限】グラン注シリンジ(75μｇ)",2
"664","3399405G1020","グラン注シリンジ(75μｇ)",2002
"665","3399405G2026","【限】グラン注シリンジ(150μｇ)",33
"666","3399405G2026","グラン注シリンジ(150μｇ)",16
"667","3399405G3022","【限】グラン注シリンジＭ(300μｇ)",6
"668","3399405G3022","グラン注シリンジＭ(300μｇ)",499
"669","3399406D1028","ノイトロジン注(50μg)",451
"670","3399406D2024","ノイトロジン注(100μg)",844
"671","3399406D3020","ノイトロジン注(250μg)",290
"672","3399406D4027","ノイトロジン注(50μg)(添付溶解液なし)",161
"673","3399406D5023","ノイトロジン注(100μg)(添付溶解液なし)",283
"674","3399406D6020","ノイトロジン注(250μg)(添付溶解液なし)",18
"675","3399408G1023","ﾌｨﾙｸﾞﾗｽﾁﾑＢＳ注７５μｇｼﾘﾝｼﾞ｢Ｆ｣",1802
"676","3399408G1031","｢モチダ｣ﾌｨﾙｸﾞﾗｽﾁﾑＢＳ注７５μｇｼﾘﾝｼﾞ",94
"677","3399408G1031","ﾌｨﾙｸﾞﾗｽﾁﾑＢＳ注７５μｇｼﾘﾝｼﾞ｢モチダ｣",1892
"678","3399408G2020","ﾌｨﾙｸﾞﾗｽﾁﾑＢＳ注１５０μｇｼﾘﾝｼﾞ｢Ｆ｣",714
"679","3399408G2038","ﾌｨﾙｸﾞﾗｽﾁﾑＢＳ注１５０μｇｼﾘﾝｼﾞ｢モチダ｣",504
