"","WELFARECODE","MEDICINENAME1","CNT"
"66","","【限】ｸｱﾙｿﾃﾞｨ髄注(100mg/15mL)(無償提供品)",3
"67","","5-FU注【食道50】1000mg/20mL(消外・9022)",120
"68","","ABBV-154点滴静注用ﾊﾞｲｱﾙ50mg(消内･220001)",1
"69","","ABBV-383(20mg/10mL)注(血内・220002)",33
"70","","belantamab mafodotin(GSK2857916)注100mg(血内・200014)",2
"71","","BIIB067髄腔内注(1本/箱)(神内・190028)",3
"72","","Daratumumab注【07】400mg/20mL(血内・9040)",21
"73","","ERY974希釈液(1mL)(消外･230006)",3
"74","","ERY974注(250μg/1mL)(消外･230006)",3
"75","","Evinacumab注(150mg/mL)2.3mL(循内･229005)",12
"76","","GB-0998注5g/50mL(泌尿・200027)",4
"77","","GEN0101注10,000mNAU【HiDCV】(産婦・U31281)",14
"78","","GEN3013(Epcoritamab)皮下注【48mg/0.8mL】(血内・200043)",5
"79","","GEN3013(Epcoritamab)皮下注【5mg/1mL】(血内・200043)",2
"80","","GEN3013(Epcoritamab)皮下注【60mg/1mL】(血内・200043)",8
"81","","GEN3013希釈液(9mL/本)(血内・200043)",2
"82","","GSK3228836皮下注150mg/1mL(消内・200017)",26
"83","","HM-001膀注用(500μL)(泌尿･229006)",50
"84","","IDEC-C2B8注【T2】500mg/50mL(泌尿・180038)",4
"85","","IMAB362注105mg(消外・180025)",11
"86","","IMAB用5-FU注1000mg/20mL(消外・180025)",32
"87","","IMAB用ﾚﾎﾞﾎﾘﾅｰﾄｶﾙｼｳﾑ注100mg(消外・180025)",16
"88","","JNJ-79635322皮下注(10mg/2mL)(血内･240007)",1
"89","","JNJ-79635322皮下注(50mg/1mL)(血内･240007)",5
"90","","KHK4827皮下注210mg(皮膚・190001)",38
"91","","Lanadelumab皮下注(300mg/2mL)(皮膚・190049)",12
"92","","Lanadelumab皮下注ｼﾘﾝｼﾞ(300mg/2mL)(皮膚・190049)",7
"93","","nemolizumab皮下注ﾊﾞｲｱﾙ(皮膚・200045)",2
"94","","Nipocalimab注(1200mg/6.5mL)(血内･230004)",8
"95","","Nipocalimab注(600mg/20mL)(血内･230004)",12
"96","","NPC-21注40mg/4mL(泌尿･200005)",4
"97","","NT201注（100U/本)(神内・210023)",1
"98","","open期KHK4827皮下注210mg(皮膚・190001)",77
"99","","rozanolixizumab皮下注(560mg/4mL)(神内・190069)",6
"100","","S-005151注射用25mg(皮膚･220021)",10
"101","","S-531011注(400mg/16mL)(消外・210051)",12
"102","","ＴＰＮ－ＨＤ",297
"103","","ＴＰＮ－Ｌa１",36
"104","","ＴＰＮ－Ｌa２",204
"105","","ＴＰＮ－Ｎ１",28
"106","","ＴＰＮ－Ｎ２",787
"107","","ＴＰＮ－Ｐｅ１",250
"108","","ＴＰＮ－Ｐｅ２",1283
"109","","ＴＰＮ－Ｒｎ",553
"110","","ｱﾐﾊﾞﾝﾀﾏﾌﾞ(JNJ-61186372)注350mg/7mL(消外･210016)",23
"111","","ｲﾋﾟﾘﾑﾏﾌﾞ注【結･直腸】200mg/40mL(消外・190055)",4
"112","","インジゴカルミン注１％(5ml)",1
"113","","ｶﾙﾌｨﾙｿﾞﾐﾌﾞ注【07】60mg(血内・9040)",121
"114","","ｶﾙﾌｨﾙｿﾞﾐﾌﾞ注60mg【ARROW2】(血内・190037)",36
"115","","ｼｽﾌﾟﾗﾁﾝ注【食道50】100mg/100mL(消外・9022)",6
"116","","ﾀﾞﾗﾂﾑﾏﾌﾞ静注400mg/20mL(血内・180003)",28
"117","","ﾅﾀﾘｽﾞﾏﾌﾞ(BG00002)皮下注ｼﾘﾝｼﾞ(150mg/1mL)(2本/箱)(神内･210052)",11
"118","","ﾆﾎﾞﾙﾏﾌﾞ/ONO-4538注【食道50】100mg/10mL(消外・9022)",50
"119","","ﾆﾎﾞﾙﾏﾌﾞ注【結･直腸】100mg/10mL(消外・190055)",13
"120","","ﾊﾟﾁｼﾗﾝ-LNP点滴静注10mg/5mL(神内・190020)",28
"121","","ﾍﾟﾑﾌﾞﾛﾘｽﾞﾏﾌﾞ注(100mg/4mL)(2本/箱)(消外・210051)",2
"122","","ﾎｽｾﾝﾋﾞﾋﾞﾝﾄ(OP-724)注(400mg/20mL/本)(消内･230033)",41
"123","","延長用【C】HGT-1110注(39mg/1.3mL)（小児・6048）",1
"124","","延長用HGT-1110注調製ｷｯﾄ（小児・6048）",1
"125","","治験用5%ﾌﾞﾄﾞｳ糖注(50ml)",111
"126","","治験用5%大塚糖液(100ml)",224
"127","","治験用5%大塚糖液(250ml)",32
"128","","治験用ｱｾﾘｵ静注液ﾊﾞｯｸﾞ(1000mg/100mL)",167
"129","","治験用ｱﾛｶﾘｽ点滴静注(235mg/10mL)",4
"130","","治験用ｱﾛｷｼ静注（0.75mg/5ml）",53
"131","","治験用ｵﾝﾀﾞﾝｾﾄﾛﾝ注射液(4mg/2ml)",10
"132","","治験用ｶﾞｽﾀｰ注(20mg/2ml)",150
"133","","治験用ｸﾞﾗﾆｾﾄﾛﾝ点滴静注ﾊﾞｯｸﾞ(3mg/50mL)",32
"134","","治験用ｿﾙ･ﾒﾄﾞﾛｰﾙ静注用【40mg】",6
"135","","治験用ﾀｲﾛｹﾞﾝ筋注用0.9mg(核医・219004)",12
"136","","治験用ﾃﾞｷｻｰﾄ注射液(3.3mg/1ml)(ｴｽﾃﾙ4mg)",142
"137","","治験用ﾃﾞｷｻｰﾄ注射液(6.6mg/2ml)(ｴｽﾃﾙ8mg)",408
"138","","治験用ﾃﾙﾓ生食注(1000ml)",135
"139","","治験用ﾃﾙﾓ生食注(500ml)",80
"140","","治験用ﾊﾟﾛﾉｾﾄﾛﾝ静注（0.75mg/5ml）",103
"141","","治験用ﾌﾟﾚﾄﾞﾆﾝ水溶性注(20mg)",110
"142","","治験用ﾌﾟﾛｲﾒﾝﾄﾞ点滴静注用(150mg)",6
"143","","治験用ﾍﾊﾟﾘﾝNa注(5千単位/5mL)",16
"144","","治験用ﾎﾟﾗﾗﾐﾝ注(5mg/1ml)",365
"145","","治験用ﾗｼｯｸｽ注(20mg/2ml)",12
"146","","治験用大塚生食注(100ml)",733
"147","","治験用大塚生食注(20ml)",70
"148","","治験用大塚生食注(250ml)",1161
"149","","治験用大塚蒸留水(20ml)",372
"150","","治験用注射用水PL(100ml)｢ﾌｿｰ｣",124
"151","","治験用生理食塩液(50ml)",2029
"152","","盲検期【aNS1】IDEC-C2B8注500mg/50mL(腎内･209004)",3
"153","","盲検期KP-100IT髄注用（神内・8902）",13
"154","","純アルコール注(2ml)",23
"155","","継続BIIB067髄腔内注(1本/箱)(神内・190056)",42
"156","","継続Evinacumab注(150mg/mL)15.3mL(循内・190022)",9
"157","","継続Evinacumab注(150mg/mL)8mL(循内・190022)",32
"158","","継続JR-141注10mg(小児・190050)",72
"159","","継続期KP-100IT髄注用（神内・8902）",11
"160","","継続期rozanolixizumab皮下注(560mg/4mL)(神内・200001)",20
"161","","輸液安定化液(IVSS)注(20mL)(血内・220002)",33
"162","","麻薬用５％ブドウ糖注(20ml)",1323
"163","","麻薬用５％大塚糖液(100ml)",46
"164","","麻薬用大塚生食注(100ml)",804
"165","","麻薬用大塚生食注(20ml)",2713
"166","","麻薬用生理食塩液５０ｍｌ",10603
"167","1115400X2023","☆ラボナール注(500mg)",672
"168","1115400X2023","ラボナール注(500mg)",866
"169","1115403D3043","☆イソゾール注(500mg)",86
"170","1115403D3043","イソゾール注(500mg)",137
"171","1119400A3026","(麻)ケタラール静注用（５０ｍｇ／５ｍＬ）",217
"172","1119400A3026","☆ケタラール静注用（５０ｍｇ／５ｍＬ）",84
"173","1119401A1036","☆ドロレプタン注(25mg/10ml)",4
"174","1119401A1036","☆麻薬用ドロレプタン注射液(25mg/10mL)",309
"175","1119401A1036","ドロレプタン注(25mg/10ml)",22
"176","1119401A1036","麻薬用ドロレプタン注射液(25mg/10mL)",556
"177","1119402A1120","☆１％プロポフォール注｢ﾏﾙｲｼ｣(200mg/20mL)",23
"178","1119402A1120","☆プロポフォール静注1%｢ﾏﾙｲｼ｣(200mg/20mL)",533
"179","1119402A1120","プロポフォール静注1%｢ﾏﾙｲｼ｣(200mg/20mL)",1017
"180","1119402A2150","☆1%プロポフォール注｢ﾏﾙｲｼ｣(500mg/50mL)",7
"181","1119402A2150","☆プロポフォール静注1%｢ﾏﾙｲｼ｣(500mg/50mL)",44
"182","1119402A2150","プロポフォール静注1%｢ﾏﾙｲｼ｣(500mg/50mL)",1
"183","1119402A3106","☆1%プロポフォール注｢ﾏﾙｲｼ｣(1000mg/100mL)",93
"184","1119402A3106","☆ﾌﾟﾛﾎﾟﾌｫｰﾙ静注1%｢ﾏﾙｲｼ｣(1000mg/100mL)",2
"185","1119402A3106","☆プロポフォール静注1%ﾏﾙｲｼ(1000mg/100mL)",1625
