"","BYOMEICD","BYOMEI","CNT"
"165","B004","ヘルペス脳炎",8
"166","B005","ヘルペスウイルス性虹彩毛様体炎",1
"167","B005","ヘルペス角膜炎",89
"168","B005","急性網膜壊死",5
"169","B005","眼瞼単純ヘルペス",3
"170","B005","眼部単純ヘルペス",1
"171","B007","汎発性ヘルペス",6
"172","B008","ヘルペスウイルス性肝炎",1
"173","B009","ヘルペスウイルス感染症",134
"174","B009","再発性単純ヘルペス",151
"175","B009","単純ヘルペス",174
"176","B011","水痘後脳脊髄炎",3
"177","B012","水痘肺炎",1
"178","B019","水痘",19
"179","B021","帯状疱疹性髄膜炎",2
"180","B022","ハント症候群",16
"181","B022","三叉神経帯状疱疹",1
"182","B022","帯状疱疹後三叉神経痛",12
"183","B022","帯状疱疹後神経痛",51
"184","B022","耳帯状疱疹",1
"185","B023","帯状疱疹性結膜炎",1
"186","B023","帯状疱疹性虹彩毛様体炎",1
"187","B023","眼部帯状疱疹",2
"188","B023","角膜帯状疱疹",4
"189","B027","汎発性帯状疱疹",1
"190","B029","口腔帯状疱疹",1
"191","B029","帯状疱疹",491
"192","B029","後頭部帯状疱疹",1
"193","B029","胸部帯状疱疹",20
"194","B029","腰殿部帯状疱疹",12
"195","B029","腰腹帯状疱疹",6
"196","B029","躯幹帯状疱疹",50
"197","B029","顔面帯状疱疹",30
"198","B059","麻疹",1
"199","B07","いぼ",1
"200","B07","ウイルス性疣贅",2
"201","B07","尋常性疣贅",39
"202","B07","扁平疣贅",1
"203","B07","疣贅",17
"204","B07","顔面疣贅",3
"205","B083","伝染性紅斑",3
"206","B085","アフタ性咽頭炎",1
"207","B09","ウイルス性中毒疹",1
"208","B159","Ａ型肝炎",2
"209","B162","Ｂ型劇症肝炎",13
"210","B169","Ｂ型劇症肝炎",4
"211","B169","Ｂ型急性肝炎",27
"212","B169","Ｂ型肝炎",228
"213","B169","Ｂ型肝炎ウイルス感染",58
"214","B169","デノボＢ型肝炎",1
"215","B171","Ｃ型急性肝炎",1
"216","B171","Ｃ型肝炎",14
"217","B171","Ｃ型肝炎ウイルス感染",1
"218","B172","Ｅ型肝炎",1
"219","B179","急性肝炎",70
"220","B181","Ｂ型慢性肝炎",663
"221","B181","Ｂ型肝硬変",56
"222","B181","Ｂ型非代償性肝硬変",6
"223","B182","Ｃ型慢性肝炎",884
"224","B182","Ｃ型肝炎",154
"225","B182","Ｃ型肝炎ウイルス感染",3
"226","B182","Ｃ型肝硬変",104
"227","B182","Ｃ型非代償性肝硬変",8
"228","B189","慢性ウイルス肝炎",5
"229","B190","劇症肝炎",7
"230","B199","ウイルス性肝炎",5
"231","B199","劇症肝炎",26
"232","B212","ＨＩＶ非ホジキンリンパ腫",1
"233","B24","ＡＩＤＳ関連症候群",10
"234","B24","ＨＩＶ感染",2
"235","B24","ＨＩＶ感染症",3
"236","B24","後天性免疫不全症候群",4
"237","B250","サイトメガロウイルス肺炎",38
"238","B251","サイトメガロウイルス性肝炎",1
"239","B258","サイトメガロウイルス網脈絡膜炎",10
"240","B258","サイトメガロウイルス網膜炎",31
"241","B258","サイトメガロウイルス腸炎",36
"242","B259","サイトメガロウイルス感染症",723
"243","B262","ムンプス脳炎",1
"244","B270","ＥＢウイルス伝染性単核症",2
"245","B270","ＥＢウイルス肝炎",3
"246","B271","サイトメガロウイルス性単核症",1
"247","B279","伝染性単核症",14
"248","B279","伝染性単核症髄膜炎",1
"249","B300","流行性角結膜炎",4
"250","B303","急性出血性結膜炎",1
"251","B309","流行性結膜炎",1
"252","B333","ＨＴＬＶ−１ぶどう膜炎",3
"253","B333","ＨＴＬＶ−１感染症",5
"254","B338","ＥＢウイルス感染症",40
"255","B340","アデノウイルス感染症",17
"256","B342","コロナウイルス感染症",1
"257","B343","パルボウイルス感染症",1
"258","B348","ＲＳウイルス感染症",20
"259","B349","ウイルス感染症",8
"260","B350","頭部白癬",1
"261","B351","手指爪白癬",19
"262","B351","爪白癬",44
"263","B351","足爪白癬",232
"264","B352","手掌白癬",1
"265","B352","手白癬",1
"266","B352","指間白癬",4
"267","B353","足白癬",193
"268","B353","趾間白癬",2
"269","B354","体部白癬",13
"270","B354","腹部白癬",1
"271","B356","殿部白癬",7
"272","B356","股部白癬",18
"273","B358","四肢白癬",4
"274","B358","深在性真菌症",3
"275","B359","湿疹状白癬",3
"276","B359","白癬",54
"277","B359","皮膚糸状菌症",3
"278","B360","癜風",12
"279","B368","中耳真菌症",3
"280","B369","皮膚真菌症",5
"281","B370","カンジダ性口内炎",9
"282","B370","口腔カンジダ症",163
"283","B370","舌カンジダ症",3
"284","B371","肺カンジダ症",40
"285","B372","カンジダ性湿疹",1
"286","B372","指間カンジダ症",1
"287","B372","爪カンジダ症",1
"288","B372","肛囲カンジダ症",1
"289","B372","腋窩カンジダ症",5
"290","B372","趾間カンジダ症",2
"291","B373","外陰部カンジダ症",6
"292","B373","外陰部腟カンジダ症",4
"293","B373","腟カンジダ症",9
"294","B374","尿路カンジダ症",2
"295","B377","カンジダ性敗血症",9
"296","B378","カンジダ性口唇炎",1
"297","B378","口腔咽頭カンジダ症",32
"298","B378","消化管カンジダ症",565
"299","B378","腸管カンジダ症",16
"300","B378","食道カンジダ症",193
"301","B379","カンジダ症",130
"302","B379","カンジダ菌血症",4
"303","B440","侵襲性肺アスペルギルス症",100
"304","B441","アレルギー性気管支肺アスペルギルス症",15
"305","B441","慢性壊死性肺アスペルギルス症",3
"306","B441","肺アスペルギルス症",186
"307","B441","肺アスペルギローマ",12
"308","B448","侵襲性アスペルギルス症",6
"309","B449","アスペルギルス症",42
"310","B450","急性肺クリプトコッカス症",7
"311","B450","肺クリプトコッカス症",4
"312","B451","クリプトコッカス性脳髄膜炎",1
"313","B452","マラセチア毛包炎",4
"314","B459","クリプトコッカス症",7
"315","B465","ムコール症",5
"316","B470","真菌菌腫",6
"317","B487","日和見真菌症",28
"318","B487","深在性真菌症",286
"319","B488","深在性皮膚真菌症",1
"320","B49","副鼻腔真菌症",18
"321","B49","真菌性眼内炎",15
"322","B49","真菌症",136
"323","B49","真菌血症",38
"324","B49","肺真菌症",118
"325","B49","角膜真菌症",73
"326","B54","マラリア",1
"327","B589","トキソプラスマ症",1
"328","B59","カリニ肺炎",2
"329","B59","ニューモシスチス肺炎",1320
"330","B59","ニューモシスティス症",78
"331","B59","ニューモシスティス肺炎",1
"332","B601","アカントアメーバ角膜炎",9
"333","B780","腸糞線虫症",2
"334","B830","トキソカラ症",1
"335","B89","寄生虫症",1
"336","B902","脊椎カリエス後遺症",2
"337","B909","結核後遺症",1
"338","B909","肺結核後遺症",1
"339","B909","陳旧性肺結核",41
"340","B99","感染性角膜炎",5
"341","B99","慢性感染性貧血",4
