"","BYOMEICD","BYOMEI","CNT"
"1658","D694","血小板減少性紫斑病",3
"1659","D694","骨髄低形成血小板減少症",4
"1660","D695","ヘパリン起因性血小板減少症",32
"1661","D695","続発性血小板減少症",21
"1662","D696","周期性血小板減少症",2
"1663","D696","血小板減少症",1013
"1664","D699","出血傾向",75
"1665","D70","二次性白血球減少症",10
"1666","D70","先天性好中球減少症",1
"1667","D70","好中球減少症",1924
"1668","D70","無顆粒球症",9
"1669","D70","発熱性好中球減少症",416
"1670","D70","白血球減少症",35
"1671","D70","自己免疫性好中球減少症",4
"1672","D70","薬剤性顆粒球減少症",4
"1673","D70","顆粒球減少症",12
"1674","D721","アレルギー性好酸球増加症",4
"1675","D721","好酸球増加症",22
"1676","D728","リンパ球減少症",1
"1677","D728","白血球増加症",8
"1678","D730","摘脾による無脾",6
"1679","D731","脾機能亢進症",12
"1680","D732","うっ血性巨脾",3
"1681","D733","脾膿瘍",4
"1682","D734","脾のう胞",3
"1683","D735","脾梗塞",5
"1684","D735","非外傷性脾臓破裂",3
"1685","D748","中毒性メトヘモグロビン血症",1
"1686","D749","メトヘモグロビン血症",4
"1687","D751","ストレス赤血球増加症",4
"1688","D751","多血症",10
"1689","D752","血小板増加症",5
"1690","D758","二次性血小板増加症",1
"1691","D758","血小板増加症",3
"1692","D760","肺好酸球性肉芽腫症",5
"1693","D761","血球貪食性リンパ組織球症",12
"1694","D762","ウイルス関連血球貪食症候群",12
"1695","D763","組織球性壊死性リンパ節炎",7
"1696","D763","組織球症症候群",3
"1697","D763","自己免疫性リンパ増殖症候群",4
"1698","D763","自己免疫関連血球貪食症候群",5
"1699","D800","Ｘ連鎖無ガンマグロブリン血症",3
"1700","D801","低ガンマグロブリン血症",496
"1701","D801","無ガンマグロブリン血症",1
"1702","D801","非家族性低ガンマグロブリン血症",1
"1703","D802","ＩｇＡ欠損症",1
"1704","D820","ウィスコット・オルドリッチ症候群",15
"1705","D839","分類不能免疫不全症",3
"1706","D839","分類不能型免疫不全症",2
"1707","D841","遺伝性血管性浮腫",14
"1708","D848","原発性免疫不全症候群",9
"1709","D848","細胞性免疫不全症",53
"1710","D848","続発性免疫不全症候群",18
"1711","D849","免疫不全",123
"1712","D860","肺サルコイドーシス",84
"1713","D861","リンパ節サルコイドーシス",4
"1714","D863","皮膚サルコイドーシス",4
"1715","D868","サルコイドーシス性ぶどう膜炎",9
"1716","D868","サルコイドーシス性虹彩毛様体炎",2
"1717","D868","心サルコイドーシス",199
"1718","D868","眼サルコイドーシス",27
"1719","D868","肝サルコイドーシス",3
"1720","D869","サルコイドーシス",145
"1721","D890","多クローン性高ガンマグロブリン血症",3
"1722","D891","クリオグロブリン血症",5
"1723","D891","クリオグロブリン血症性血管炎",7
"1724","D892","高ガンマグロブリン血症",5
"1725","D898","ＳＡＰＨＯ症候群",5
"1726","D898","インターロイキンＩ受容体拮抗分子欠損症",1
"1727","D898","ブラウ症候群",5
"1728","D899","ＴＡＦＲＯ症候群",17
"1729","D899","免疫疾患",3
"1730","D899","易感染性",2
"1731","E009","クレチン病",1
"1732","E031","先天性甲状腺機能低下症",38
"1733","E031","甲状腺無形成",4
"1734","E032","薬剤性甲状腺機能低下症",104
"1735","E034","後天性甲状腺萎縮",5
"1736","E038","一過性甲状腺機能低下症",8
"1737","E038","下垂体性甲状腺機能低下症",65
"1738","E038","続発性甲状腺機能低下症",138
"1739","E038","視床下部性甲状腺機能低下症",9
"1740","E039","原発性甲状腺機能低下症",185
"1741","E039","甲状腺機能低下症",2845
"1742","E039","粘液水腫",28
"1743","E039","若年性甲状腺機能低下症",2
"1744","E040","単純性甲状腺腫",3
"1745","E041","甲状腺のう胞",34
"1746","E049","びまん性甲状腺腫",1
"1747","E049","甲状腺腫",145
"1748","E049","異所性甲状腺腫",3
"1749","E049","結節性甲状腺腫",26
"1750","E049","縦隔甲状腺腫",3
"1751","E049","腺腫様甲状腺腫",24
"1752","E050","グレーブス病",7
"1753","E050","バセドウ病",419
"1754","E050","バセドウ病眼症",8
"1755","E054","人為的甲状腺中毒症",1
"1756","E055","甲状腺クリーゼ",3
"1757","E058","下垂体性ＴＳＨ分泌亢進症",1
"1758","E058","下垂体性甲状腺機能亢進症",4
"1759","E059","一過性甲状腺機能亢進症",1
"1760","E059","原発性甲状腺機能亢進症",16
"1761","E059","甲状腺中毒症",28
"1762","E059","甲状腺機能亢進症",196
"1763","E059","甲状腺眼症",107
"1764","E061","亜急性甲状腺炎",2
"1765","E063","慢性甲状腺炎",241
"1766","E063","橋本病",117
"1767","E063","橋本脳症",1
"1768","E063","無痛性甲状腺炎",18
"1769","E063","自己免疫性甲状腺炎",42
"1770","E065","慢性甲状腺炎",27
"1771","E069","甲状腺炎",4
"1772","E078","薬剤性甲状腺機能障害",20
"1773","E079","甲状腺機能異常",90
"1774","E079","甲状腺機能障害",15
"1775","E079","甲状腺疾患",1
"1776","E10","１型糖尿病",30
"1777","E10","不安定型糖尿病",1
"1778","E10","緩徐進行１型糖尿病",25
"1779","E100","１型糖尿病・昏睡合併あり",16
"1780","E100","１型糖尿病性低血糖性昏睡",5
"1781","E101","１型糖尿病・ケトアシドーシス合併あり",48
"1782","E101","１型糖尿病性ケトアシドーシス",19
"1783","E101","劇症１型糖尿病",27
"1784","E102","１型糖尿病・腎合併症あり",71
"1785","E102","１型糖尿病性腎不全",61
"1786","E102","１型糖尿病性腎症",19
"1787","E102","１型糖尿病性腎症第１期",25
"1788","E102","１型糖尿病性腎症第２期",5
"1789","E102","１型糖尿病性腎症第３期",3
"1790","E102","１型糖尿病性腎症第４期",1
"1791","E102","１型糖尿病性腎症第５期",11
"1792","E103","１型糖尿病・眼合併症あり",6
"1793","E103","１型糖尿病性白内障",4
"1794","E103","増殖性糖尿病性網膜症・１型糖尿病",4
"1795","E103","緩徐進行１型糖尿病・眼合併症あり",4
"1796","E104","１型糖尿病・神経学的合併症あり",11
"1797","E104","１型糖尿病性多発ニューロパチー",2
"1798","E104","緩徐進行１型糖尿病・神経学的合併症あり",3
"1799","E106","１型糖尿病・糖尿病性合併症あり",176
"1800","E107","１型糖尿病・多発糖尿病性合併症あり",484
"1801","E107","緩徐進行１型糖尿病・多発糖尿病性合併症あり",17
"1802","E109","１型糖尿病・糖尿病性合併症なし",159
"1803","E109","緩徐進行１型糖尿病・糖尿病性合併症なし",32
"1804","E11","２型糖尿病",161
"1805","E11","インスリン抵抗性糖尿病",6
"1806","E11","安定型糖尿病",26
"1807","E11","若年２型糖尿病",11
"1808","E110","２型糖尿病性低血糖性昏睡",13
"1809","E111","２型糖尿病・ケトアシドーシス合併あり",23
"1810","E111","２型糖尿病性ケトーシス",6
"1811","E111","２型糖尿病性ケトアシドーシス",7
"1812","E112","２型糖尿病・腎合併症あり",630
"1813","E112","２型糖尿病性腎不全",22
"1814","E112","２型糖尿病性腎症",101
"1815","E112","２型糖尿病性腎症第１期",56
"1816","E112","２型糖尿病性腎症第２期",116
"1817","E112","２型糖尿病性腎症第３期",31
"1818","E112","２型糖尿病性腎症第３期Ａ",9
"1819","E112","２型糖尿病性腎症第３期Ｂ",17
"1820","E112","２型糖尿病性腎症第４期",19
"1821","E112","２型糖尿病性腎症第５期",1
"1822","E113","２型糖尿病・眼合併症あり",200
"1823","E113","２型糖尿病性白内障",4
"1824","E113","２型糖尿病性網膜症",30
"1825","E113","２型糖尿病性黄斑浮腫",7
"1826","E113","２型糖尿病黄斑症",3
"1827","E113","増殖性糖尿病性網膜症・２型糖尿病",118
"1828","E114","２型糖尿病・神経学的合併症あり",203
"1829","E114","２型糖尿病性ニューロパチー",5
"1830","E114","２型糖尿病性多発ニューロパチー",4
"1831","E114","２型糖尿病性末梢神経障害",6
"1832","E115","２型糖尿病・末梢循環合併症あり",215
"1833","E115","２型糖尿病性動脈硬化症",8
"1834","E115","２型糖尿病性動脈閉塞症",5
"1835","E115","２型糖尿病性壊疽",1
"1836","E115","２型糖尿病性末梢血管障害",3
"1837","E116","２型糖尿病・糖尿病性合併症あり",1130
"1838","E116","２型糖尿病・関節合併症あり",10
"1839","E116","２型糖尿病性肝障害",1
"1840","E116","２型糖尿病性関節症",1
"1841","E116","２型糖尿病性高コレステロール血症",10
"1842","E116","２型糖尿病性高血糖高浸透圧症候群",6
"1843","E117","２型糖尿病・多発糖尿病性合併症あり",2167
"1844","E119","２型糖尿病",1
"1845","E119","２型糖尿病・糖尿病性合併症なし",2911
"1846","E13","ステロイド糖尿病",180
"1847","E13","二次性糖尿病",4
"1848","E13","膵性糖尿病",20
"1849","E13","薬剤性糖尿病",28
"1850","E131","ステロイド糖尿病・ケトアシドーシス合併あり",3
"1851","E131","膵性糖尿病・ケトアシドーシス合併あり",19
"1852","E132","ステロイド糖尿病・腎合併症あり",19
"1853","E132","二次性糖尿病・腎合併症あり",3
"1854","E132","膵性糖尿病・腎合併症あり",12
"1855","E132","薬剤性糖尿病・腎合併症あり",6
"1856","E135","ステロイド糖尿病・末梢循環合併症あり",1
"1857","E135","膵性糖尿病・末梢循環合併症あり",3
"1858","E136","ステロイド糖尿病・糖尿病性合併症あり",7
"1859","E136","膵性糖尿病・糖尿病性合併症あり",19
"1860","E136","薬剤性糖尿病・糖尿病性合併症あり",7
"1861","E137","ウイルス性糖尿病・多発糖尿病性合併症あり",5
"1862","E137","ステロイド糖尿病・多発糖尿病性合併症あり",15
"1863","E137","膵性糖尿病・多発糖尿病性合併症あり",26
"1864","E139","ウイルス性糖尿病・糖尿病性合併症なし",2
"1865","E139","ステロイド糖尿病・糖尿病性合併症なし",38
"1866","E139","二次性糖尿病・糖尿病性合併症なし",6
"1867","E139","膵性糖尿病・糖尿病性合併症なし",49
"1868","E139","薬剤性糖尿病・糖尿病性合併症なし",14
"1869","E14","糖尿病",2809
"1870","E141","糖尿病性ケトーシス",3
"1871","E141","糖尿病性ケトアシドーシス",14
"1872","E142","糖尿病性腎不全",15
"1873","E142","糖尿病性腎症",193
"1874","E142","糖尿病性腎臓病",1
"1875","E143","増殖性糖尿病性網膜症",159
"1876","E143","糖尿病網膜症",173
"1877","E143","糖尿病黄斑浮腫",73
"1878","E144","糖尿病性ニューロパチー",35
"1879","E144","糖尿病性単ニューロパチー",2
"1880","E144","糖尿病性多発ニューロパチー",14
"1881","E144","糖尿病性末梢神経障害",75
"1882","E144","糖尿病性神経障害性疼痛",33
"1883","E145","糖尿病性末梢血管症",2
"1884","E146","糖尿病性精神障害",1
"1885","E146","高血糖高浸透圧症候群",3
"1886","E149","糖尿病",3
"1887","E149","糖尿病・糖尿病性合併症なし",25
"1888","E15","低血糖昏睡",12
"1889","E161","インスリン自己免疫症候群",3
"1890","E161","先天性高インスリン血症",4
"1891","E161","高インスリン血症",15
"1892","E162","低血糖",157
"1893","E162","低血糖発作",19
"1894","E164","ゾリンジャー・エリソン症候群",18
"1895","E200","特発性副甲状腺機能低下症",4
"1896","E201","偽性副甲状腺機能低下症",4
"1897","E209","上皮小体機能低下症",1
"1898","E209","副甲状腺機能低下症",92
"1899","E210","副甲状腺過形成",1
"1900","E210","原発性上皮小体機能亢進症",4
"1901","E210","原発性副甲状腺機能亢進症",127
"1902","E211","続発性上皮小体機能亢進症",2
"1903","E211","続発性副甲状腺機能亢進症",259
"1904","E213","上皮小体機能亢進症",3
"1905","E213","副甲状腺機能亢進症",75
"1906","E215","副甲状腺機能障害",2
"1907","E220","下垂体性巨人症",3
"1908","E220","先端巨大症",161
"1909","E220","先端巨大症の疑い",3
"1910","E221","プロラクチン分泌異常症",1
"1911","E221","高プロラクチン血症",40
"1912","E222","抗利尿ホルモン不適切分泌症候群",3
"1913","E222","抗利尿ホルモン不適合分泌症候群",35
"1914","E228","中枢性思春期早発症",30
"1915","E230","ＡＣＴＨ分泌低下症",3
"1916","E230","ＡＣＴＨ単独欠損症",21
"1917","E230","シーハン症候群",1
"1918","E230","下垂体性甲状腺機能低下症",1
"1919","E230","下垂体性男子性腺機能低下症",5
"1920","E230","下垂体機能低下症",243
"1921","E230","低ゴナドトロピン性性腺機能低下症",34
"1922","E230","成人成長ホルモン分泌不全",21
"1923","E230","成長ホルモン分泌不全",76
"1924","E230","成長ホルモン分泌不全性低身長症",321
"1925","E230","成長ホルモン単独欠損症",9
"1926","E230","汎下垂体機能低下症",239
"1927","E230","続発性下垂体機能低下症",12
"1928","E230","複合下垂体ホルモン欠損症",3
"1929","E230","重症成人成長ホルモン分泌不全",28
"1930","E232","下垂体尿崩症",2
"1931","E232","下垂体性尿崩症",42
"1932","E232","中枢性尿崩症",136
"1933","E232","二次性尿崩症",1
"1934","E232","尿崩症",56
"1935","E232","続発性中枢性尿崩症",2
"1936","E233","視床下部機能障害",1
"1937","E236","トルコ鞍空洞症",9
"1938","E236","ラトケのう胞",60
"1939","E236","リンパ球性下垂体炎",3
"1940","E236","下垂体卒中",3
"1941","E236","下垂体腫瘤",2
"1942","E240","ＡＣＴＨ産生下垂体腺腫",4
"1943","E240","クッシング病",88
"1944","E240","サブクリニカルクッシング病",2
"1945","E242","薬物誘発性クッシング症候群",3
"1946","E243","異所性ＡＣＴＨ産生腫瘍",32
"1947","E249","クッシング病",7
"1948","E249","クッシング症候群",89
"1949","E250","先天性副腎性器症候群",4
"1950","E250","先天性副腎過形成",14
"1951","E259","副腎性器症候群",1
"1952","E259","女性化副腎腫瘍",1
"1953","E260","原発性アルドステロン症",500
"1954","E268","バーター症候群",3
"1955","E269","高アルドステロン症",3
"1956","E270","副腎皮質機能亢進症",6
"1957","E271","アジソン病",20
"1958","E272","副腎クリーゼ",5
"1959","E274","副腎皮質機能低下症",324
"1960","E274","続発性副腎皮質機能低下症",65
"1961","E275","副腎髄質機能亢進症",2
"1962","E282","多のう胞性卵巣",3
"1963","E282","多のう胞性卵巣症候群",5
"1964","E283","卵巣機能不全",73
"1965","E283","卵巣欠落症状",30
"1966","E283","原発性卵巣機能低下症",1
"1967","E283","性腺機能低下症・女性",2
"1968","E283","早発閉経",1
"1969","E283","黄体機能不全",1
"1970","E291","性腺機能低下症・男性",7
"1971","E291","精巣機能不全症",23
"1972","E291","類宦官症",2
"1973","E300","思春期遅発症",3
"1974","E301","思春期早発症",14
"1975","E320","胸腺増殖遺残",5
"1976","E328","胸腺のう胞",26
"1977","E342","異所性ＡＤＨ産生腫瘍",1
"1978","E342","異所性ホルモン産生腫瘍",1
"1979","E343","ＳＧＡ性低身長症",26
"1980","E343","低身長症",98
"1981","E345","アンドロゲン不応症",1
"1982","E348","ウェルナー症候群",3
"1983","E349","内分泌障害",1
"1984","E41","るいそう",5
"1985","E43","栄養失調性浮腫",4
"1986","E43","重度栄養失調",51
"1987","E440","中等度栄養失調症",14
"1988","E441","軽度栄養失調症",21
"1989","E46","低栄養",7
"1990","E46","栄養失調",545
"1991","E46","蛋白質欠乏性障害",1
"1992","E509","ビタミンＡ欠乏症",20
"1993","E511","脚気",1
"1994","E512","ウェルニッケ脳症",4
"1995","E519","ビタミンＢ１欠乏症",26
"1996","E530","ビタミンＢ２欠乏症",1
"1997","E531","ビタミンＢ６欠乏症",8
"1998","E538","カルニチン欠乏症",4
"1999","E538","パントテン酸欠乏症",1
"2000","E538","ビタミンＢ１２欠乏症",46
"2001","E538","亜急性連合性脊髄変性症",3
"2002","E538","葉酸欠乏症",159
"2003","E539","ビタミンＢ群欠乏症",22
"2004","E54","ビタミンＣ欠乏症",16
"2005","E550","くる病",49
"2006","E550","未熟児くる病",10
"2007","E559","ビタミンＤ欠乏症",64
"2008","E560","ビタミンＥ欠乏症",34
"2009","E561","ビタミンＫ欠乏症",53
"2010","E569","ビタミン欠乏症",36
"2011","E569","複合ビタミン欠乏症",3
"2012","E58","カルシウム欠乏症",2
"2013","E59","食事性セレン欠乏症",31
"2014","E60","亜鉛欠乏症",2
"2015","E60","食事性亜鉛欠乏症",6
"2016","E610","銅欠乏症",2
"2017","E611","鉄欠乏症",9
"2018","E618","セレン欠乏症",10
"2019","E618","亜鉛欠乏症",394
"2020","E639","栄養障害",234
"2021","E661","薬物誘発性肥満症",1
"2022","E662","肥満低換気症候群",2
"2023","E668","病的肥満症",71
"2024","E669","単純性肥満",5
"2025","E669","小児肥満",5
"2026","E669","肥満症",310
"2027","E673","ビタミンＤ過剰症",1
"2028","E701","フェニルケトン尿症",3
"2029","E713","カルニチン欠乏症",277
"2030","E713","カルニチン欠損",5
"2031","E713","二次性カルニチン欠乏症",72
"2032","E713","副腎白質ジストロフィー",21
"2033","E713","脂肪酸代謝障害",20
"2034","E720","シスチン尿症",2
"2035","E720","ファンコニー症候群",3
"2036","E722","シトリン欠損症",1
"2037","E722","高アンモニア血症",197
"2038","E729","アミノ酸代謝異常症",3
"2039","E739","乳糖不耐性下痢症",2
"2040","E740","ポンペ病",20
"2041","E740","糖原病",12
"2042","E740","糖原病１型",1
"2043","E740","糖原病２型",1603
"2044","E741","本態性果糖尿症",3
"2045","E748","グルコーストランスポーター１欠損症",15
"2046","E748","腎性糖尿",4
"2047","E749","糖代謝障害",1
"2048","E750","ＧＭ２ガングリオシドーシス",34
"2049","E752","ゴーシェ病",285
"2050","E752","ファブリー病",29
"2051","E752","異染性白質ジストロフィー",119
"2052","E752","白質ジストロフィー",22
"2053","E755","黄色腫症",4
"2054","E761","ハンター病",192
"2055","E761","ハンター症候群",584
"2056","E761","ムコ多糖症ＩＩ型",2624
"2057","E762","ムコ多糖症ＩＶＡ型",5
"2058","E762","ムコ多糖症ＩＶ型",1
"2059","E763","ムコ多糖体症",93
"2060","E763","ムコ多糖症",5
"2061","E778","低蛋白血症",141
"2062","E778","術後低蛋白血症",33
"2063","E780","シトステロール血症",1
"2064","E780","家族性高コレステロール血症",237
"2065","E780","家族性高コレステロール血症・ヘテロ接合体",7
"2066","E780","家族性高コレステロール血症・ホモ接合体",8
"2067","E780","本態性高コレステロール血症",241
"2068","E780","高ＬＤＬ血症",40
"2069","E780","高コレステロール血症",7029
"2070","E780","高コレステロール血症性黄色腫",5
"2071","E781","高トリグリセライド血症",146
"2072","E782","家族性高リポ蛋白血症２ｂ型",3
"2073","E782","家族性高リポ蛋白血症３型",7
"2074","E783","家族性高リポ蛋白血症１型",11
"2075","E784","二次性高脂血症",59
"2076","E784","家族性複合型高脂血症",23
"2077","E785","本態性高脂血症",43
"2078","E785","脂質異常症",1527
"2079","E785","高脂血症",2423
"2080","E786","神経有棘赤血球症",24
"2081","E789","脂質代謝異常",23
"2082","E790","無症候性高尿酸血症",83
"2083","E790","続発性高尿酸血症",62
"2084","E790","高尿酸血症",3742
"2085","E798","低尿酸血症",6
"2086","E800","プロトポルフィリン症",12
"2087","E802","急性間欠性ポルフィリン症",3
"2088","E802","異型性ポルフィリン症",1
"2089","E806","体質性黄疸",1
"2090","E830","ウイルソン病",72
"2091","E830","銅代謝障害",2
"2092","E831","ヘモクロマトーシス",5
"2093","E831","輸血後鉄過剰症",69
"2094","E831","高鉄血症",1
"2095","E832","亜鉛代謝障害",2
"2096","E833","ＦＧＦ２３関連低リン血症性くる病",7
"2097","E833","ＦＧＦ２３関連低リン血症性骨軟化症",3
"2098","E833","ビタミンＤ依存症",1
"2099","E833","低ホスファターゼ症",18
"2100","E833","低リン血症",171
"2101","E833","高リン血症",408
"2102","E833","高りん酸血症",8
"2103","E834","低マグネシウム血症",4
"2104","E835","低カルシウム血症",473
"2105","E835","家族性低カルシウム尿性高カルシウム血症",5
"2106","E835","高カルシウム血症",124
"2107","E850","家族性地中海熱",24
"2108","E851","アミロイドニューロパチー",1
"2109","E851","トランスサイレチン型家族性アミロイドポリニューロパチー",3
"2110","E851","家族性アミロイドポリニューロパチー",19
"2111","E852","家族性アミロイドーシス",7
"2112","E854","トランスサイレチン型心アミロイドーシス",40
"2113","E854","心アミロイドーシス",23
"2114","E858","ＡＬアミロイドーシス",3
"2115","E858","老人性アミロイドーシス",4
"2116","E859","アミロイドーシス",12
"2117","E859","アミロイドーシスの疑い",2
"2118","E859","全身性アミロイドーシス",4
"2119","E859","原発性アミロイドーシス",5
"2120","E86","低張性脱水症",11
"2121","E86","脱水症",651
"2122","E870","高ナトリウム血症",19
"2123","E871","ナトリウム欠乏性脱水",1
"2124","E871","中枢性塩喪失症候群",1
"2125","E871","低ナトリウム血症",87
"2126","E871","脱水型低ナトリウム血症",3
"2127","E872","アシドーシス",18
"2128","E872","ケトアシドーシス",2
"2129","E872","乳酸アシドーシス",5
"2130","E872","代謝性アシドーシス",1417
"2131","E872","呼吸性アシドーシス",2
"2132","E873","代謝性アルカローシス",7
"2133","E873","低カリウム性アルカローシス",1
"2134","E873","呼吸性アルカローシス",3
"2135","E875","高カリウム血症",600
"2136","E876","カリウム代謝異常",12
"2137","E876","低カリウム血症",1235
"2138","E877","体液貯留",321
"2139","E878","リフィーディング症候群",1
"2140","E878","電解質異常",4
"2141","E880","低アルブミン血症",691
"2142","E880","無ハプトグロブリン血症",1
"2143","E881","リポジストロフィー",31
"2144","E881","脂肪異栄養症",3
"2145","E888","ＭＥＬＡＳ症候群",1
"2146","E888","ミトコンドリア心筋症",1
"2147","E888","ミトコンドリア病",15
"2148","E888","腫瘍崩壊症候群",2
"2149","E889","代謝障害",6
"2150","E890","放射線治療後甲状腺機能低下症",41
"2151","E890","術後甲状腺機能低下症",85
"2152","E892","続発性副甲状腺機能低下症",17
"2153","E892","術後上皮小体機能低下症",1
"2154","E892","術後副甲状腺機能低下症",16
"2155","E893","術後下垂体機能低下症",1
"2156","E894","化学療法に伴う卵巣機能不全",3
"2157","E896","医原性副腎皮質機能低下症",26
"2158","F019","血管性認知症",1
"2159","F028","レビー小体型認知症",1
"2160","F03","二次性認知症",3
"2161","F03","原発性認知症",1
"2162","F03","老年期うつ病",25
"2163","F03","老年期認知症",6
"2164","F03","老年期認知症抑うつ型",1
"2165","F03","老年精神病",3
"2166","F03","認知症",312
"2167","F050","認知症に重ならないせん妄",5
"2168","F058","急性脳症候群",3
"2169","F059","せん妄",167
"2170","F059","夜間せん妄",9
"2171","F059","老人性夜間せん妄",1
"2172","F062","器質性妄想性障害",4
"2173","F063","器質性うつ病性障害",1
"2174","F064","器質性不安障害",1
"2175","F067","軽度認知障害",49
"2176","F068","ステロイド精神病",10
"2177","F069","器質性精神障害",18
"2178","F069","脳出血後遺性精神障害",5
"2179","F069","高次脳機能障害",35
"2180","F071","脳炎後症候群",2
"2181","F072","脳振盪後症候群",1
"2182","F079","器質性精神症状群",4
"2183","F09","症状精神病",2
"2184","F100","急性アルコール中毒",17
"2185","F101","アルコール乱用",1
"2186","F102","アルコール依存症",17
"2187","F103","アルコール離脱状態",1
"2188","F104","アルコール離脱せん妄",1
"2189","F107","アルコール性認知症",2
"2190","F122","マリファナ中毒",1
"2191","F172","ニコチン依存症",1
"2192","F191","薬物誤用",2
"2193","F195","ステロイド精神病",12
"2194","F200","妄想型統合失調症",4
"2195","F202","緊張型統合失調症",112
"2196","F203","型分類困難な統合失調症",14
"2197","F204","統合失調症後抑うつ",34
"2198","F206","単純型統合失調症",98
"2199","F208","体感症性統合失調症",4
"2200","F208","急性統合失調症性エピソード",2
"2201","F208","統合失調症様状態",36
"2202","F209","統合失調症",669
"2203","F220","妄想性障害",2
"2204","F229","幻覚妄想状態",4
"2205","F232","急性統合失調症",13
"2206","F233","妄想を主とする急性精神病性障害",3
"2207","F239","反応性精神病",1
"2208","F250","躁病型統合失調感情障害",3
"2209","F251","うつ病型統合失調感情障害",2
"2210","F252","混合型統合失調感情障害",1
"2211","F259","統合失調感情障害",10
"2212","F28","非定型精神病",2
"2213","F300","軽躁病",3
"2214","F301","精神病症状を伴わない躁病",1
"2215","F308","反応性興奮",1
"2216","F309","躁状態",22
"2217","F310","双極性感情障害・軽躁病エピソード",13
"2218","F311","双極性感情障害・精神病症状を伴わない躁病エピソード",6
"2219","F313","双極性感情障害・中等症のうつ病エピソード",19
"2220","F313","双極性感情障害・軽症のうつ病エピソード",7
"2221","F314","双極性感情障害・精神病症状を伴わない重症うつ病エピソード",1
"2222","F318","双極２型障害",7
"2223","F319","双極性感情障害",53
"2224","F319","双極性障害",1
"2225","F319","躁うつ病",229
"2226","F320","軽症うつ病エピソード",115
"2227","F321","中等症うつ病エピソード",49
"2228","F328","退行期うつ病",2
"2229","F329","うつ状態",154
"2230","F329","うつ病",1239
"2231","F329","反応性うつ病",95
"2232","F330","軽症反復性うつ病性障害",26
"2233","F339","単極性うつ病",8
"2234","F339","反復心因性うつ病",1
"2235","F339","反復性うつ病",24
"2236","F341","抑うつ神経症",146
"2237","F341","気分変調症",7
"2238","F341","神経症性抑うつ状態",10
"2239","F401","社交不安障害",3
"2240","F402","閉所恐怖症",5
"2241","F409","恐怖症性不安障害",20
"2242","F410","パニック発作",10
"2243","F410","パニック障害",82
"2244","F411","不安症",4
"2245","F411","不安神経症",462
"2246","F411","不安緊張状態",12
"2247","F411","全般性不安障害",54
"2248","F412","不安うつ病",76
"2249","F412","混合性不安抑うつ障害",3
"2250","F419","不安障害",380
"2251","F421","強迫神経症",3
"2252","F429","強迫性障害",8
"2253","F430","急性ストレス反応",1
"2254","F431","心的外傷後ストレス障害",2
"2255","F432","老年期適応障害",1
"2256","F432","適応障害",122
"2257","F442","心因性昏迷",1
"2258","F442","解離性昏迷",12
"2259","F445","ヒステリー性てんかん",4
"2260","F445","自律神経発作",8
"2261","F445","解離性痙攣",19
"2262","F447","混合性解離性障害",4
"2263","F449","解離性障害",17
"2264","F449","転換性障害",3
"2265","F452","心気症",1
"2266","F452","心気障害",4
"2267","F453","咽喉頭異常感症",3
"2268","F453","咽喉頭神経症",40
"2269","F453","常習性吃逆",2
"2270","F453","心因性便秘",5
"2271","F453","心因性発熱",3
"2272","F453","心因性過換気",1
"2273","F453","神経因性排尿障害",56
"2274","F453","神経性食道通過障害",1
"2275","F453","空気嚥下症",1
"2276","F453","身体表現性自律神経機能低下",16
"2277","F453","過換気症候群",15
"2278","F454","持続性身体表現性疼痛障害",1
"2279","F458","心因性めまい",2
"2280","F458","神経性多汗症",3
"2281","F458","神経性耳鳴",1
"2282","F459","小児心身症",1
"2283","F459","心身症",132
"2284","F459","身体表現性障害",56
"2285","F480","神経衰弱",1
"2286","F481","離人症",1
"2287","F488","小児神経症",36
"2288","F488","心因性失神",3
"2289","F488","書痙",6
"2290","F488","老人性神経症",2
"2291","F489","神経症",162
"2292","F489","精神神経症",158
"2293","F500","神経性食欲不振症",10
"2294","F508","拒食症",2
"2295","F509","摂食障害",69
"2296","F510","非器質性不眠症",21
"2297","F511","閉塞性睡眠時無呼吸",4
"2298","F512","非器質性睡眠・覚醒スケジュール障害",1
"2299","F514","夜なき",1
"2300","F514","夜驚症",5
"2301","F519","非器質性睡眠障害",8
"2302","F522","勃起不全",1
"2303","F530","産褥期うつ状態",3
"2304","F54","心因性胃潰瘍",7
"2305","F600","パーソナリティ障害",1
"2306","F603","境界型人格障害",1
"2307","F603b","境界型パーソナリティ障害",16
"2308","F609","パーソナリティ障害",1
"2309","F639","習慣および衝動の障害",2
"2310","F70","軽度知的障害",6
"2311","F709","軽度知的障害・行動機能障害の言及なし",6
"2312","F71","中等度知的障害",1
"2313","F719","中等度知的障害・行動機能障害の言及なし",5
"2314","F729","重度知的障害・行動機能障害の言及なし",1
"2315","F79","知的障害",139
"2316","F79","精神遅滞",1
"2317","F791","重症心身障害",2
"2318","F801","表出性言語障害",1
"2319","F803","ランドウ・クレフナー症候群",44
"2320","F809","言語発達遅滞",1
"2321","F819","学習障害",14
"2322","F82","運動発達遅滞",50
"2323","F83","混合性特異的発達障害",3
"2324","F840","小児自閉症",123
"2325","F840","自閉症",6
"2326","F840","高機能自閉症",9
"2327","F841","自閉的特徴を伴う知的障害",1
"2328","F845","小児期型統合失調症",1
"2329","F848","ＭＥＣＰ２重複症候群",13
